τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.05,-0.002366239772426964,-0.001971491510883625,-0.001989604193813721,0.017712668160863105,-0.011021344681164285,-0.001738947581947366,-0.005570093959794521,-0.009622513203036594,-0.0026808282283895092,0.02838381891065633,-0.009989155514636793,-0.006379679258667345,-0.0038700759728675753,-0.0026923779972998075,-0.004754015022660423,-0.00560608528881729,-0.011700955317058474
0.055,-0.002239338952387466,-0.0021317988701446793,-0.0024116678464775436,0.017878954342557332,-0.010134524545346848,-0.001118848726530183,-0.006235294420187294,-0.009470203199203456,-0.0020581926497591336,0.028626747695436734,-0.009740499155944328,-0.006042510297460544,-0.0036976650955226607,-0.0035438355172296137,-0.005419396790631305,-0.00495542878300487,-0.01124976231656733
0.06,-0.0012465672097080396,-0.0012456359668552733,-0.0015169162681217398,0.017279461128764533,-0.009415483453008666,-0.0018947910995180197,-0.0063856658666461485,-0.009184982953833756,-0.0010655280574433407,0.02990696885031454,-0.011001368059792313,-0.006746763648605412,-0.0036256165429578943,-0.004389105584582153,-0.005848305987289946,-0.005416392111716159,-0.012249534236115104
0.065,-0.0016120994609883663,-0.0011077424461142567,-0.0014256744931357916,0.017246762402120842,-0.009025164683225447,-0.0021434819631106286,-0.006419852774259064,-0.009847365822096586,-0.0012487239073927143,0.029864658643738346,-0.011098989352068211,-0.005985356087214474,-0.0033626909795555922,-0.004044504540302842,-0.0056945078423677725,-0.0056531561564590604,-0.012972481703138038
0.07,-0.0017981403105601674,-0.0016624109248712551,-0.0019945628368020947,0.016917278556383378,-0.009589986459654708,-0.0018210221655230957,-0.006807339231212812,-0.010656499593933009,-0.0008638223897044845,0.029329171278337025,-0.012043860784158783,-0.0062470647995577465,-0.0031970069382744716,-0.0035872823350007453,-0.005072180617511253,-0.005343593686910456,-0.013746906956115957
0.075,-0.001822463568409203,-0.0016354478730450921,-0.001970498911290622,0.016913103828365365,-0.009701894246536408,-0.0018414872428206344,-0.006834501942372541,-0.011043821287372444,-0.0008333558373166316,0.029286091949791464,-0.011991218403780056,-0.006213808698662203,-0.003176926033323996,-0.0035561282323710278,-0.005047225823644601,-0.005240375338565938,-0.013421394864280631
0.08,-0.0017841316219933548,-0.0016508837975741533,-0.0019858361551475037,0.016932432490827178,-0.010112295743220113,-0.002761544469537196,-0.006798266980391741,-0.011417491719582394,-0.0013030973458879925,0.02899615682291935,-0.012812322886034448,-0.00707631923145348,-0.003168348710509143,-0.003538500553583374,-0.004999330278667202,-0.0057025291675076185,-0.01379263312311918
0.085,-0.0016052277071237676,-0.0015993194327735265,-0.0019342788024712622,0.016625516715769714,-0.01063358846339865,-0.00258677310441961,-0.0070698474686283815,-0.011511726394867593,-0.001565734045150038,0.02936583064115887,-0.012660127899025514,-0.006933945649017833,-0.003050972789596812,-0.0033601526432087275,-0.004865384055686647,-0.005584363638259257,-0.013599397614068543
0.09,-0.001625505973593852,-0.0015759891575845726,-0.001904193484747539,0.0166305095913599,-0.01061057124342248,-0.0025798808226985322,-0.007064636102705936,-0.011503620862751666,-0.0015615976731081578,0.02894651450444194,-0.012616031158359079,-0.006909686498386545,-0.003039092936073136,-0.003342788723547401,-0.004843221311118376,-0.005559908716488312,-0.01355340040558377
0.095,-0.0016066876886847048,-0.001528560562679083,-0.0018618073333569662,0.01694711193891934,-0.010548405357863996,-0.0025292041628728014,-0.007009592438756107,-0.011891012089447046,-0.001463478176130989,0.02896112461824906,-0.012573724947680826,-0.007394548064590531,-0.002921330125708568,-0.0037091109628520254,-0.004782964374092985,-0.005035659869904693,-0.013754381216810937
