T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
70.0,0.5250709555345316,0.1665089877010407,0.5411542100283823,0.5903500473036897,0.31125827814569534,0.33964049195837276,0.5572374645222328,0.5894039735099338
71.0,0.5285067873303168,0.18371040723981902,0.5746606334841629,0.6054298642533936,0.32941176470588235,0.3502262443438914,0.5746606334841629,0.5981900452488688
72.0,0.5304878048780488,0.18554006968641115,0.5932055749128919,0.6202090592334495,0.3510452961672474,0.37282229965156793,0.5792682926829268,0.6027874564459931
73.0,0.5420482930890924,0.20649458784346378,0.6128226477935054,0.6369691923397169,0.37801831806827646,0.3980016652789342,0.5928393005828476,0.6103247293921732
74.0,0.5313868613138686,0.2167883211678832,0.6335766423357664,0.6576642335766424,0.41824817518248175,0.43576642335766425,0.6058394160583942,0.6072992700729927
75.0,0.5493243243243243,0.25067567567567567,0.6574324324324324,0.6817567567567567,0.4574324324324324,0.4756756756756757,0.6256756756756757,0.620945945945946
76.0,0.5544683626875407,0.2785388127853881,0.680365296803653,0.695368558382257,0.4774951076320939,0.4964122635355512,0.6288323548597521,0.6157860404435747
77.0,0.5537897310513448,0.28728606356968217,0.6833740831295844,0.69559902200489,0.4871638141809291,0.5030562347188264,0.6393643031784841,0.6167481662591687
78.0,0.5684399282725643,0.315002988643156,0.7059175134488942,0.7166766288105201,0.5086670651524208,0.5242080095636581,0.657501494321578,0.6353855349671249
79.0,0.5738770685579196,0.3309692671394799,0.7157210401891253,0.7228132387706856,0.5212765957446809,0.5360520094562647,0.6637115839243499,0.6341607565011821
80.0,0.6012054244098443,0.3987945755901557,0.7493721747865394,0.748869914615771,0.5725765946760422,0.5836263184329483,0.6976393771973882,0.6700150678051231
81.0,0.6081012658227848,0.42025316455696204,0.7686075949367088,0.7655696202531646,0.590379746835443,0.6010126582278481,0.7043037974683545,0.6724050632911392
82.0,0.6130895091434071,0.4451395572666025,0.7776708373435997,0.7781520692974013,0.609720885466795,0.6183830606352262,0.7045235803657363,0.6669874879692012
