Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.018,0.4363767361806028,0.21606692550934636,0.0,0.5956850658447744,0.602009366369131,0.5935636232638194
0.019,0.4424608733939079,0.23079694192050595,0.0,0.59920746107353,0.6052515710683265,0.5967257735259976
0.02,0.4505063443141336,0.2538125925629428,0.0,0.6024096385542169,0.6086138574230476,0.5998078693511588
0.021,0.4545490933835008,0.2576952327582756,0.0,0.6054517071608694,0.6116559260297002,0.6027698835207942
0.022,0.45582996437577555,0.2712644598326862,0.0,0.6076932313973502,0.613697314173638,0.6046911900092062
0.023,0.45807148861225633,0.2807108834007125,0.0,0.6101348917263739,0.6160188928471361,0.6069327142456871
0.024,0.4603930672857543,0.2847936596885882,8.005443701717168e-05,0.6122963615258376,0.618340471520634,0.6091742384821679
0.025,0.4639154625145099,0.2962014169635352,0.00012008165552575751,0.6147780490733699,0.6207020774126406,0.6114557899371572
0.026,0.4720009606532442,0.37921786815034225,0.00024016331105151503,0.6168594644358164,0.6224632750270184,0.6130969058960093
0.027,0.47416243045270784,0.3792979225873594,0.0002801905295601009,0.6187807709242285,0.6245046631709562,0.6150982668214385
0.028,0.4775647440259376,0.3925869591322099,0.00036024496657727256,0.6205019413200976,0.6261457791298083,0.6168194372173078
0.029,0.4794059960773326,0.39302725853580434,0.0004402994035944442,0.6221430572789497,0.6278269223071689,0.6183004443021255
0.03,0.48060681263259014,0.4003522395228756,0.0005203538406116159,0.6231037105231557,0.6292679021734779,0.6197414241684346
0.031,0.4819277108433735,0.4078773566024897,0.0006804627146459592,0.6244246087339391,0.6305888003842613,0.6209822679422007
0.032,0.48292839130608817,0.40959852699835886,0.0007204899331545451,0.6260256974742825,0.6324700796541648,0.6229035744306128
0.033,0.48484969779450027,0.412000160108874,0.0008005443701717168,0.6272265140295401,0.6333907056798623,0.6237841732378017
0.034,0.4858503782572149,0.41452187487491493,0.0008405715886803026,0.6279470039626946,0.6340311411759997,0.6244246087339391
0.035,0.4880118480566785,0.4159228275227154,0.0010407076812232318,0.6289476844254093,0.6353120121682744,0.6256254252891966
0.036,0.48881239242685026,0.4240083256614498,0.0012808709922747469,0.6299483648881239,0.6363927470680062,0.6267061601889284
0.037,0.4890125285193932,0.42665012208301645,0.0013609254292919184,0.6309490453508386,0.6375935636232638,0.6277868950886603
0.038,0.4898531001080735,0.43057278949685784,0.0015210343033262618,0.6317095625025017,0.6384341352119441,0.6285474122403234
0.039,0.49109394388183963,0.43117319777448665,0.0017211703958691911,0.6322699435616219,0.639314734019133,0.6293879838290037
0.04,0.49141416162990836,0.43229395989272706,0.0018012248328863627,0.6328703518392507,0.6399151422967618,0.6300684465436497
0.041,0.49193451547052,0.43453548412920784,0.0020413881439378776,0.6338310050834568,0.6406356322299164,0.6306688548212784
0.042,0.4935356042108634,0.43873834207260937,0.0023616058920065647,0.6345915222351198,0.641636312692631,0.6315494536284674
0.043,0.49425609414401794,0.4418204378977705,0.002921986951126766,0.6353920666052916,0.6422767481887683,0.6321498619060961
0.044,0.4949365568586639,0.4420205739903134,0.0030820958251611096,0.6362726654124805,0.6432374014329745,0.6330304607132851
0.045,0.4951366929512068,0.4434615538566225,0.0033222591362126247,0.6371932914381779,0.6438778369291118,0.633710923427931
0.046,0.49569707401032703,0.4437417443861826,0.0035223952287555538,0.6379938358083497,0.6445182724252492,0.6343113317055598
0.047,0.49617740063243004,0.44438217988232,0.0035624224472641398,0.63883440739703,0.6455189528879638,0.6353120121682744
0.048,0.4966177000360245,0.4446223431933715,0.0038426129768242404,0.639514870111676,0.6465196333506784,0.6362726654124805
0.049,0.4974582716247048,0.44718408517792096,0.004362966817435856,0.6403154144818477,0.6475203138133931,0.6372733458751951
0.05,0.49757835328023053,0.44754433014449824,0.004523075691470199,0.6411159588520193,0.6481607493095305,0.6378337269343153
0.051,0.49845895208741947,0.44958571828843613,0.0050834567505904016,0.6417964215666654,0.648681103150142,0.6383140535564183
0.052,0.49865908817996235,0.4499459632550134,0.005443701717167674,0.6421566665332427,0.6491614297722451,0.6387943801785214
0.053,0.4990593603650482,0.4505063443141336,0.005643837809710603,0.6432374014329745,0.6499619741424169,0.6395548973301846
0.054,0.5000600408277629,0.4508265620622023,0.005843973902253532,0.6439979185846375,0.6504423007645199,0.6401152783893047
0.055,0.5002601769203058,0.451627106432374,0.005924028339270704,0.6445983268622664,0.6512428451346916,0.6409158227594765
0.056,0.5009006124164432,0.4536284673578033,0.006324300524356562,0.6455189528879638,0.6519233078493375,0.6415962854741224
0.057,0.5012608573830205,0.45406876676139774,0.006604491053916663,0.6459592522915583,0.6526838250010006,0.6422767481887683
0.058,0.5015410479125806,0.45430893007244927,0.007164872113036865,0.6467998238802386,0.6534843693711724,0.6430372653404315
0.059,0.5027418644678381,0.455109474442621,0.007485089861105552,0.6473602049393588,0.6539246687747668,0.6433975103070088
0.06,0.5029820277788897,0.45566985550174116,0.007725253172157067,0.6482808309650563,0.65468518592643,0.6440379458031461
0.061,0.5039426810230957,0.45715086258655885,0.008045470920225754,0.6489612936797022,0.6554056758595845,0.6446783812992836
0.062,0.504503062082216,0.4576311892086619,0.008445743105311612,0.6494015930832966,0.6560060841372133,0.6452787895769123
0.063,0.504783252611776,0.4584717607973422,0.008685906416363126,0.6501220830164511,0.6566465196333506,0.6459192250730497
0.064,0.5053436336708962,0.4598326862266341,0.0093263419125005,0.6509226273866229,0.6572069006924709,0.6464395789136613
0.065,0.5055037425449306,0.4598326862266341,0.009486450786534843,0.6514029540087259,0.6580474722811512,0.6472000960653245
0.066,0.5057839330744907,0.46023295841171996,0.009806668534603531,0.6520033622863547,0.6586879077772886,0.6477604771244446
0.067,0.5063443141336108,0.4605131489412801,0.010086859064163631,0.6527638794380178,0.6591682343993915,0.6482408037465477
0.068,0.5070247768482569,0.46163391105952045,0.010447104030740903,0.6532842332786295,0.6598486971140376,0.6488011848056678
