T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
84.0,0.1270674319004421,0.4772214246373118,0.0017472131690947866,0.0025871540072432944,0.2929165440870404,0.2929165440870404
85.0,0.20201970801911784,0.37824130282579843,0.001903934815009071,0.002609738667605374,0.2812622423487753,0.2812622423487753
86.0,0.22956675707549035,0.2885860174590333,0.0019878602878692516,0.0028233343205513587,0.18317408403481225,0.18317408403481225
87.0,0.24049575936690304,0.25348811837577817,0.0018944924052806595,0.0029209010604878067,0.19182460373388835,0.19182460373388835
88.0,0.21141404256617294,0.18265849181444802,0.0016849994954144434,0.0027386534947913387,0.16798722607773084,0.16798722607773084
89.0,0.21141404256617294,0.18265849181444802,0.0016849994954144434,0.0027386534947913387,0.16798722607773084,0.16798722607773084
90.0,0.19515142390723683,0.17007738300045444,0.0017063038428316718,0.0025602944230905247,0.15507555295059822,0.15507555295059822
91.0,0.25308070923283993,0.14169816896651294,0.0017797421028798663,0.0027735911409297507,0.043063115977649995,0.043063115977649995
92.0,0.26408338197939324,0.10264614317390698,0.00184560884948217,0.00282064741950515,0.04486189072738715,0.04486189072738715
93.0,0.2756359729958746,0.10684155763683796,0.0014591808431211066,0.0016176435671152094,0.001416651206656121,0.001416651206656121
94.0,0.2625548530594749,0.0900628793247909,0.0014180813967604065,0.001469574915688603,0.0013260652170253,0.0013260652170253
95.0,0.2625548530594749,0.0900628793247909,0.0014180813967604065,0.001469574915688603,0.0013260652170253,0.0013260652170253
96.0,0.2625548530594749,0.0900628793247909,0.0014180813967604065,0.001469574915688603,0.0013260652170253,0.0013260652170253
97.0,0.2831405339705325,0.05614863111482303,0.0013822997159041728,0.0015189438874994633,0.0013528198835059818,0.0013528198835059818
98.0,0.29449205578906285,0.057163381657137115,0.001386570154488431,0.0014775069003721945,0.001358300362265816,0.001358300362265816
99.0,0.37337164977405657,0.01687636625941258,0.0013680913768989943,0.001280849434812688,0.0012528879689297045,0.0012528879689297045
100.0,0.37836269690106356,0.017387857415013693,0.00167357672318343,0.0012491507322756287,0.0011558196907032845,0.0011558196907032845
101.0,0.37836269690106356,0.017387857415013693,0.00167357672318343,0.0012491507322756287,0.0011558196907032845,0.0011558196907032845
102.0,0.4122525556678314,0.01849706226965547,0.001712961053506259,0.0012600185594511166,0.001214400749167116,0.001214400749167116
103.0,0.4378121243035999,0.01780318963028108,0.0018679576947795466,0.0013018863969078086,0.001258251969679634,0.001258251969679634
104.0,0.3945295608425563,0.017873610269435403,0.002089410352255733,0.0013310336431231421,0.0013139778953412914,0.0013139778953412914
105.0,0.35343436077509677,0.01693959130201221,0.0020471805185883966,0.0011936818374011762,0.0012345984990624814,0.0012345984990624814
106.0,0.35343436077509677,0.01693959130201221,0.0020471805185883966,0.0011936818374011762,0.0012345984990624814,0.0012345984990624814
107.0,0.35343436077509677,0.01693959130201221,0.0020471805185883966,0.0011936818374011762,0.0012345984990624814,0.0012345984990624814
108.0,0.44032016676487595,0.016950768021549854,0.002419667034649858,0.0010942211563061653,0.0012541937751653367,0.0012541937751653367
109.0,0.4148338838881851,0.017347909289252644,0.0023502953908252308,0.0011858971753847729,0.0013364596401934051,0.0013364596401934051
110.0,0.4764303171631126,0.019339683160915028,0.054734120729501484,0.053773226977353,0.05383664581232783,0.05383664581232783
111.0,0.4473431125610631,0.01935277237915881,0.05749566965910155,0.05664183847762762,0.0567403398246032,0.0567403398246032
112.0,0.43175191664135876,0.018988896520769332,0.04961315374704862,0.0488746351861015,0.04893667533163808,0.04893667533163808
113.0,0.43175191664135876,0.018988896520769332,0.04961315374704862,0.0488746351861015,0.04893667533163808,0.04893667533163808
114.0,0.5737506757264418,0.021903723500900894,0.04990781977846679,0.050137581965556934,0.04939547619101749,0.04939547619101749
115.0,0.48195056761021127,0.02032634890713598,0.042183769797102894,0.05498992063110609,0.04153945098457643,0.04153945098457643
116.0,0.48195056761021127,0.02032634890713598,0.042183769797102894,0.05498992063110609,0.04153945098457643,0.04153945098457643
117.0,0.48764390562652904,0.021093289410034216,0.037932039810651665,0.08496792332059223,0.03722444776968272,0.03722444776968272
118.0,0.5057033661171145,0.021614260961396594,0.0393195437609759,0.08804802098034295,0.03853626855717754,0.03853626855717754
119.0,0.46263864080505746,0.021118528671754497,0.04580640085126873,0.10323446891821907,0.0450204118416461,0.0450204118416461
120.0,0.41015470050008324,0.021847013203437224,0.04083543808226527,0.13016928617065868,0.04013690342559922,0.04013690342559922
121.0,0.41015470050008324,0.021847013203437224,0.04083543808226527,0.13016928617065868,0.04013690342559922,0.04013690342559922
122.0,0.4888126029583963,0.01987101911274412,0.06888515013986013,0.12674885291587815,0.03498709524820377,0.03498709524820377
123.0,0.47118122256763384,0.020468709717871687,0.07107850415148317,0.1310428485743238,0.03611689236638476,0.03611689236638476
124.0,0.48776662309497437,0.02070387511878726,0.07340684584164155,0.13561270020124366,0.03729653127159251,0.03729653127159251
125.0,0.4908706310886566,0.019720778481708695,0.09039176880652433,0.1413013040833341,0.03101895464942687,0.03101895464942687
126.0,0.4908706310886566,0.019720778481708695,0.09039176880652433,0.1413013040833341,0.03101895464942687,0.03101895464942687
127.0,0.4908706310886566,0.019720778481708695,0.09039176880652433,0.1413013040833341,0.03101895464942687,0.03101895464942687
128.0,0.5054145052824065,0.019675233968864086,0.08791121470068715,0.1658268255691889,0.030153199037438905,0.030153199037438905
129.0,0.5200721860889147,0.019556794686404286,0.09046035780689465,0.17062606416002854,0.030962036847932913,0.030962036847932913
130.0,0.5200721860889147,0.019556794686404286,0.09046035780689465,0.17062606416002854,0.030962036847932913,0.030962036847932913
131.0,0.5062951254255607,0.019753934588108358,0.12357537936514168,0.20637082569778162,0.06254514415663223,0.06254514415663223
132.0,0.5231041638558035,0.020048763909875943,0.13570111147418273,0.22678076672386532,0.06858818973491072,0.06858818973491072
133.0,0.5231041638558035,0.020048763909875943,0.13570111147418273,0.22678076672386532,0.06858818973491072,0.06858818973491072
134.0,0.4674464539276312,0.01836272307818387,0.16234636553607334,0.2709124302040135,0.08173493758748424,0.08173493758748424
135.0,0.5564838737233703,0.019566073704529334,0.19295852899152685,0.30718818859997055,0.09724724595638388,0.09724724595638388
136.0,0.5564838737233703,0.019566073704529334,0.19295852899152685,0.30718818859997055,0.09724724595638388,0.09724724595638388
137.0,0.5600497878279581,0.01824634261069764,0.22470145772507719,0.30258878463335837,0.11324410567485312,0.11324410567485312
138.0,0.5600497878279581,0.01824634261069764,0.22470145772507719,0.30258878463335837,0.11324410567485312,0.11324410567485312
139.0,0.6031526811657695,0.04707052427806123,0.2524905950425651,0.3225370294855979,0.15185802197425893,0.15185802197425893
140.0,0.6899900230254509,0.05298160830755036,0.31486075904189614,0.3400195000585544,0.189225431760264,0.189225431760264
141.0,0.6899900230254509,0.05298160830755036,0.31486075904189614,0.3400195000585544,0.189225431760264,0.189225431760264
142.0,0.5866237077214577,0.06829979190232084,0.3360782525511192,0.41852065449147086,0.25179612831530757,0.25179612831530757
143.0,0.5866237077214577,0.06829979190232084,0.3360782525511192,0.41852065449147086,0.25179612831530757,0.25179612831530757
144.0,0.5866237077214577,0.06829979190232084,0.3360782525511192,0.41852065449147086,0.25179612831530757,0.25179612831530757
145.0,0.667891413717076,0.12146658962929963,0.5025017624595944,0.6691931867831856,0.5018686595512946,0.5018686595512946
146.0,0.667891413717076,0.12146658962929963,0.5025017624595944,0.6691931867831856,0.5018686595512946,0.5018686595512946
147.0,0.667891413717076,0.12146658962929963,0.5025017624595944,0.6691931867831856,0.5018686595512946,0.5018686595512946
148.0,0.501247589322167,0.12387249447900534,0.6687164318244766,0.5027223024982845,0.5018939499094611,0.5018939499094611
149.0,0.501247589322167,0.12387249447900534,0.6687164318244766,0.5027223024982845,0.5018939499094611,0.5018939499094611
150.0,0.501247589322167,0.12387249447900534,0.6687164318244766,0.5027223024982845,0.5018939499094611,0.5018939499094611
151.0,0.6607335746375314,0.21517948939968287,0.6686820176971425,0.33500390556345216,0.3332119292388895,0.3332119292388895
