Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
4152,0.0038372573189395104,0.013451093393063442,1.1271099034786778e-05,0.0006156436525659797,0.0006156436525659797,0.0006156436525659797,0.0,0.0
4153,0.0,0.019104077232527907,0.0019619560118419375,0.00013547542501019682,0.00013547542501019682,0.00013547542501019682,0.0,0.0
4154,0.011466785225546831,0.02249801962803803,0.0022269436372397656,0.00012517842010454567,0.00012517842010454567,0.00012517842010454567,0.0,0.0
4155,0.004748088415443274,0.036176753110700025,0.0015284468095710865,0.0005144351520090716,0.0009205578764430325,0.0009205578764430325,0.0,0.0
4156,0.0038372573189395104,0.013451093393063442,1.1271099034786778e-05,0.00027340988542816905,0.00027340988542816905,0.00027340988542816905,0.0,0.0
4157,0.011984664174843822,0.03045807702148059,0.0005640728646827518,7.134606329770848e-05,7.134606329770848e-05,7.134606329770848e-05,0.0,0.0
4158,0.003929267179360588,0.01796886363736658,0.0005673530030117098,7.131327639513611e-05,7.131327639513611e-05,7.131327639513611e-05,0.0,0.0
4159,0.0,0.019104077232527907,0.005026239996700916,0.00013547542501019682,0.00013547542501019682,0.00013547542501019682,0.0,0.0
4160,0.0,0.013453326682677274,0.002225443147068983,0.00034899407118724006,0.00034899407118724006,0.00034899407118724006,0.0,0.0
4161,0.012084854709155771,0.43414073903060224,0.00117743746253245,0.00013221269891672347,0.00013221269891672347,0.00013221269891672347,0.0,0.008511499855517406
4162,0.008888096132200913,0.026757892690602234,0.001667051308266115,0.0008003503560829815,0.0001611369614836671,0.0001611369614836671,0.0,0.0
4163,0.3228661281069425,0.30540351665838106,0.30540351665838106,0.2865477876916171,0.2865477876916171,0.2865477876916171,0.388402372775377,0.27665401512292176
4164,0.01146678522554667,0.07799302055530836,0.056930288382671716,0.05875826172290807,0.05875826172290807,0.05875826172290807,0.019899557437704798,0.049243519019849344
4165,0.007649883168444964,0.020235488401988754,0.0016794973966794862,0.00037625953663460225,0.00037625953663460225,0.00037625953663460225,0.0,0.0
4166,0.0018864045437677972,0.008951934447736419,0.0014554437725890607,0.00011959041716361405,0.00011959041716361405,0.00011959041716361405,0.0,0.01342051576232144
4167,0.003567972051926555,0.006429688876958289,0.0009208706684645932,2.7150402147374607e-05,2.7150402147374607e-05,2.7150402147374607e-05,0.013674936897076493,0.0
4168,0.008888096132200913,0.026757892690602234,0.001667051308266115,0.0011168295481363674,0.0011168295481363674,0.0011168295481363674,0.0,0.0
4169,0.0033557948625981735,0.05809346311760366,0.10116374831076745,0.016306981773517717,0.016306981773517717,0.016306981773517717,0.01962880674893263,0.02934396158214446
4170,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.0001083011126038656,0.0001083011126038656,0.0001083011126038656,0.0,0.0
4171,0.0014131205616237726,0.046224834557069994,0.010604588815304964,0.00285290643008664,0.0028530071185414443,0.0028530071185414443,0.010053664663923084,0.010053664663923084
4172,0.0009133872042283336,0.03160067339293664,0.0018218675289606177,0.0006275271554806032,0.0006275271554806032,0.0006275271554806032,0.01814734671025952,0.009159999285475966
4173,0.0379678501990205,0.4232548655265974,0.43125400719178436,0.07497934264535253,0.07497934264535253,0.07497934264535253,0.0,0.0
4174,0.011599996683792588,0.42848859267190736,0.004468748811186093,0.007002103514509264,0.007002103514509264,0.007002103514509264,0.41503749927884376,0.41503749927884376
4175,0.0072315692310758635,0.01063822732732532,0.001961795494258182,0.00038829751537965466,0.00038829751537965466,0.00038829751537965466,0.0,0.0
4176,0.006465541662623988,0.035314911612716195,0.008009798234341526,0.0021163900312919314,0.0021163900312919314,0.0021163900312919314,0.0,0.0
4177,0.011587974275211825,0.023633106565081,0.010502659474933519,0.017809866397433247,0.017809889381217907,0.017809889381217907,0.011587974275211825,0.0
4178,0.0,0.0022224421620449684,0.0019609929066089007,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0
4179,0.009015531751713029,0.059840819608893966,0.0025063883196614224,0.004848343255043954,0.001459720846461301,0.001459720846461301,0.0,0.0
4180,0.2109256361109008,0.25856917444714766,0.06975941345422294,0.0008627691504849424,,,0.4352153812164741,0.24511249783653147
4181,0.4931054678278876,0.034458605558681084,0.0980229806021641,0.11160667880511854,0.4316048552478292,0.4316048552478292,0.0,0.41503749927884376
4182,0.2880487734470416,0.1594741629211584,0.19519094170697499,0.15853859588278058,0.13715556897148184,0.13715560442708405,0.4545658634654813,0.019365324866931214
4183,0.0,0.35832376431289287,0.43775689183477384,0.00013561970806976338,0.0007744154788371892,0.0007744154788371892,0.0,0.0
4184,0.0,0.019104077232527907,0.0019619560118419375,0.00043317628261484013,0.00043317628261484013,0.00043317628261484013,0.0,0.0
4185,0.0,0.0022224421620449684,0.0019609929066089007,0.00024367465754749417,0.00023036869978592092,0.00023036869978592092,0.0,0.0
