Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
62,-0.019346088804811878,-0.013766449104964931,-0.014125775393469618,-0.005892762122134538,-0.017120645657743027,-0.017207976874285644,-0.017207976874285644,-0.017207976874285644,-0.019346088804811878,-0.019346088804811878,-0.010357305577557171
63,0.0,0.0031945305451808793,0.01409381462512796,0.44764293040967823,0.015793933089373036,0.01345919327714232,0.01345919327714232,0.01345919327714232,0.010106964845150328,0.010106964845150328,0.019152104448157115
64,0.0,0.0056394999529248,0.006202239376094925,0.017288350712003017,0.0038259862199045694,0.0023322375721724665,0.002777050550024459,0.002777050550024459,0.0038372573189394714,0.0038372573189394714,0.0038372573189394714
65,0.0,-0.011202347229420801,0.007855492503228652,0.02560583128220377,0.003912518897043466,0.004428931182911367,0.005166062196919969,0.005166062196919969,0.010743771828055193,0.0014059072487190615,0.0014059072487190615
66,0.0,0.0018070395860408017,0.0034990860377359352,0.017288350712003017,-0.0006329989625320228,0.0018871745439025137,0.0014421322308695154,0.0014421322308695154,0.0038372573189394714,0.0038372573189394714,0.0038372573189394714
67,0.019152104448157115,0.026975508077973456,0.01752815888640677,0.44764293040967823,0.015797548227653203,0.01595552092335499,0.01595552092335499,0.015955430554904296,0.019152104448157115,0.019152104448157115,0.019152104448157115
68,0.0,0.34014214265748327,0.010197697529113646,0.03260543113083455,0.01023761810238005,0.008453542139005272,0.008453542139005272,0.008453632978588197,0.010106964845150328,0.010106964845150328,0.010106964845150328
69,0.0,0.0008653574432532448,-0.0007696426114188146,0.01909933150174009,-0.001961474459144891,-0.0005147492304839894,-0.0005147492304839894,-0.0005147492304839894,0.0,0.0,0.0
70,0.0,0.003458319772411399,0.0007692322447712029,0.01909933150174009,-0.001961474459144891,-0.0005147492304839894,-0.0008943633687030854,-0.0008943633687030854,0.0,0.0,0.0
71,0.0,-0.007908368847162102,-0.0009621174353835263,0.01909933150174009,-0.001961474459144891,-0.0024128561767132093,-0.0024128561767132093,-0.0024128561767132093,0.0,0.0,0.0
72,0.0,-0.034939023494198,-0.015114384399591696,-0.005892762122134538,-0.011517304336987935,-0.013308078678535343,-0.012954252377920207,-0.012954252377920207,-0.010357305577557171,-0.0014241808075495107,-0.0014241808075495107
73,0.0,0.008654465310538255,0.01436524450411806,0.03260543113083455,0.01023761810238005,0.012745227411070363,0.014172896468284579,0.014172896468284579,0.019152104448157115,0.010106964845150328,0.019152104448157115
74,0.0,-0.014528423307397658,-0.015578037788681795,0.0003375443975255706,-0.017011995262418405,-0.0161817370060438,-0.0161817370060438,-0.0161817370060438,-0.014528423307397658,-0.014528423307397658,-0.014528423307397658
75,0.0,0.009994784749883166,0.011021248714130174,0.041028234584623645,0.011277750633356539,0.010231654802353054,0.010231654802353054,0.010231654802353054,0.004851481473923573,0.004851481473923573,0.004851481473923573
76,0.0,-0.00028134593144498094,0.0028104457736306447,0.42613957344263925,-0.0014617209922917803,-7.50182861769949e-07,-8.439557468790381e-07,-8.439557468790381e-07,0.0014059072487190615,0.0014059072487190615,0.0014059072487190615
77,0.0,0.005654058598114961,0.012282975877419722,0.03260543113083455,0.01023761810238005,0.011673479725391095,0.011673479725391095,0.011673479725391095,0.019152104448157115,0.010106964845150328,0.019152104448157115
78,0.0,-0.01614689797080643,-0.012678879375603273,0.007001553838900646,-0.012900990617507498,-0.013308419291770592,-0.013308419291770592,-0.013308419291770592,-0.00871109671208359,-0.00871109671208359,-0.01890686381797211
79,0.0,0.016278198620849643,0.006951697077186996,0.02284727316956213,0.004472791683321681,0.0026075010934655356,0.0026075010934655356,0.0026075010934655356,0.006291071999221235,0.006291071999221235,0.006291071999221235
80,0.0,0.0013435321384723676,0.0,0.42959087047663275,0.0014984745956236672,0.0004838157189029862,0.0004838157189029862,0.0004838157189029862,-0.0054904627475353485,0.004851481473923573,0.004851481473923573
81,0.0,-0.008391991606841414,0.0006731006411445224,0.01909933150174009,-0.001961474459144891,-0.0008943633687030854,-0.0008943633687030854,-0.0008943633687030854,0.0,0.0,0.0
82,0.0,-0.017696806896551565,-0.009710605839874709,0.4220558843214464,-0.010907417246623493,-0.013291622062240374,-0.013291622062240374,-0.013291622062240374,-0.01208485470915591,-0.020596354564673226,-0.01208485470915591
83,0.0,0.0012185320889140443,0.007575674488925417,0.02560583128220377,0.009309671955269681,0.006639008611828498,0.006639008611828498,0.006639008611828498,0.010743771828055193,0.0014059072487190615,0.0014059072487190615
84,0.019152104448157115,0.009743977035740264,0.019873271691811533,0.44764293040967823,0.015797548227653203,0.01773603570499994,0.018091875120560322,0.018091875120560322,0.019152104448157115,0.019152104448157115,0.019152104448157115
85,0.0,0.013188679366823386,0.01517922787323337,0.44764293040967823,0.015797548227653203,0.014172896468284579,0.014172896468284579,0.014172896468284579,0.019152104448157115,0.019152104448157115,0.019152104448157115
86,0.0,0.00022120439186041553,0.009151598450217189,0.02284727316956213,0.004472791683321681,0.005651739365812331,0.004782612280450856,0.004782612280450856,0.006291071999221235,0.006291071999221235,0.006291071999221235
87,0.0,-0.018782530389066562,0.0032783215814893704,0.02560583128220377,-0.0014617209922917803,0.00036874267092026295,0.0007383658566997442,0.0007383658566997442,-0.00799279075353063,0.0014059072487190615,0.0014059072487190615
88,0.0,0.00278651764577175,-0.0020211882193569,0.01909933150174009,-0.001963400670896693,-0.0020330349526903892,-0.0016533136986461466,-0.0016533136986461466,0.0,0.0,0.0
89,0.0,-0.025763875884853172,-0.01592807904743867,0.0003375443975255706,-0.017011995262418405,-0.015491590675875315,-0.015491590675875315,-0.015491590675875315,-0.014528423307397658,-0.014528423307397658,-0.014528423307397658
90,0.0,0.025539901226865773,0.017708687578488456,0.03260543113083455,0.015797548227653203,0.01595552092335499,0.014886246764061948,0.014886246764061948,0.019152104448157115,0.019152104448157115,0.019152104448157115
91,0.0,-0.029176574678404746,-0.011898583246569016,-0.00382446120565406,-0.008563461962798075,-0.008960927558175588,-0.009380759058400183,-0.009380759058400183,-0.014461097314390782,-0.014461097314390782,-0.014461097314390782
92,0.0,-0.0047592596688616606,0.005198906674319175,0.03260543113083455,0.004699895176503129,0.004508349123335403,0.00486746573058253,0.00486746573058253,0.010106964845150328,0.010106964845150328,0.0010047577378977752
93,0.0,-0.00409841087269682,-0.0069853564264529,0.02284727316956213,-0.004630950805861249,-0.0061253308757381435,-0.0061253308757381435,-0.0061253308757381435,-0.0047641165097746345,-0.0047641165097746345,-0.0047641165097746345
94,0.0,-0.07088282879387442,0.009562448876848576,0.03260543113083455,0.015797548227653203,0.014886246764061948,0.014886246764061948,0.014886246764061948,0.019152104448157115,0.019152104448157115,0.019152104448157115
95,0.0,0.003731675086462413,0.0016148819829567224,0.007001553838900646,0.0019981509646762397,0.0014845473311398756,0.0014845473311398756,0.0014845473311398756,0.0014131205616236173,0.0014131205616236173,0.0014131205616236173
96,0.0,-0.003110046309027866,0.006291030148796174,0.03260543113083455,0.004699895176503129,0.0034306449534268484,0.0030710792899321074,0.0030710792899321074,0.010106964845150328,0.010106964845150328,0.0010047577378977752
