T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
85.0,0.2765957446808511,0.7872340425531915,0.851063829787234,0.2553191489361702,0.0,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9361702127659575,0.8936170212765957,0.9148936170212766
86.0,0.2708333333333333,0.7708333333333334,0.8541666666666666,0.25,0.0,0.9375,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.8958333333333334,0.9166666666666666
87.0,0.2708333333333333,0.7708333333333334,0.8541666666666666,0.25,0.0,0.9375,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.8958333333333334,0.9166666666666666
88.0,0.2708333333333333,0.7708333333333334,0.8541666666666666,0.25,0.0,0.9375,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.8958333333333334,0.9166666666666666
89.0,0.24489795918367346,0.7551020408163265,0.8163265306122449,0.22448979591836735,0.0,0.9387755102040817,0.9591836734693877,0.9591836734693877,0.8979591836734694,0.8979591836734694,0.8979591836734694
90.0,0.22448979591836735,0.7346938775510204,0.7959183673469388,0.20408163265306123,0.0,0.9387755102040817,0.9387755102040817,0.9591836734693877,0.8775510204081632,0.8775510204081632,0.8775510204081632
91.0,0.20833333333333334,0.7083333333333334,0.7708333333333334,0.125,0.0,0.9166666666666666,0.9375,0.9375,0.875,0.875,0.875
92.0,0.21739130434782608,0.6956521739130435,0.7608695652173914,0.10869565217391304,0.0,0.9130434782608695,0.9347826086956522,0.9347826086956522,0.8695652173913043,0.8695652173913043,0.8695652173913043
93.0,0.22727272727272727,0.6818181818181818,0.75,0.06818181818181818,0.0,0.9090909090909091,0.9318181818181818,0.9318181818181818,0.8636363636363636,0.8636363636363636,0.8636363636363636
94.0,0.23255813953488372,0.6511627906976745,0.7209302325581395,0.06976744186046512,0.0,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.8372093023255814,0.8372093023255814,0.8372093023255814
95.0,0.23809523809523808,0.6428571428571429,0.7142857142857143,0.047619047619047616,0.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8333333333333334,0.8333333333333334,0.8333333333333334
96.0,0.24324324324324326,0.5945945945945946,0.6486486486486487,0.0,0.0,0.8378378378378378,0.8648648648648649,0.8648648648648649,0.7837837837837838,0.7567567567567568,0.8108108108108109
97.0,0.21875,0.5625,0.625,0.0,0.0,0.8125,0.84375,0.84375,0.78125,0.75,0.8125
98.0,0.1,0.4,0.45,0.0,0.0,0.75,0.75,0.8,0.65,0.6,0.7
99.0,0.05263157894736842,0.3684210526315789,0.42105263157894735,0.0,0.0,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.631578947368421,0.5789473684210527,0.6842105263157895
100.0,0.04,0.24,0.28,0.0,0.0,0.48,0.52,0.56,0.52,0.48,0.52
101.0,0.0,0.14285714285714285,0.19047619047619047,0.0,0.0,0.38095238095238093,0.42857142857142855,0.47619047619047616,0.42857142857142855,0.47619047619047616,0.42857142857142855
102.0,0.0,0.16,0.2,0.0,0.0,0.32,0.36,0.4,0.36,0.4,0.36
103.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2916666666666667,0.3333333333333333,0.375,0.3333333333333333,0.375,0.3333333333333333
