Estimator,alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
klapuri2006/percival2014,3.460664658223801e-22,0.0014250340461738355,0.001029989919206438,4.523298841853833e-20,1.2790814942189046e-29,5.337615538969965e-55,2.5032811489431843e-65,0.0027811019006296176,0.14155847490404383,0.09884579349483628,1.0,4.629759978482077e-06,0.0008122896044755732,4.874373775463132e-05,0.08811779977468091,1.0541404806044016e-13,0.0624188173321267,0.010211380720991202,0.034420378639885944,0.002104094707558496,0.5980173607848673,1.6071883624143763e-68,6.821359578579192e-46,6.0676669546209945e-27,9.59885083848954e-16,0.7013674914441903
oliveira2010/ibt,6.513143736433205e-15,0.34464569682919377,0.6841656079235661,5.039696702961778e-09,7.963541512287817e-19,8.626735607896498e-45,9.306867932352284e-56,4.5065041081416896e-08,0.24507998603147388,0.00011146624125379561,4.629759978482077e-06,1.0,1.1490384233278444e-09,0.11925517803626802,0.1328140209248456,1.3570287659210063e-21,4.0517210032605275e-07,1.2007354600835191e-08,8.488363021718777e-07,1.2530614507970074e-07,0.005420592376421294,1.4227340351942741e-59,1.8569379111602397e-33,5.072616731314498e-18,9.326305761196266e-07,2.2941468639516665e-05
percival2014/stem,1.4777059552902044e-30,7.023251234771102e-08,1.1442480179594087e-07,1.8208224835370455e-21,2.0484813285819743e-34,1.4766662294494522e-56,2.3607196361792245e-66,0.38448541476805165,0.0001270556299326247,0.0001668148188492612,0.0008122896044755732,1.1490384233278444e-09,1.0,1.2477002603077727e-10,0.00017217198251035006,9.318792195009598e-07,0.5340343945413577,0.8919981057842186,0.6404859434916184,0.44327141145918525,0.0018806149353269904,1.8931893198652223e-68,1.3042101232699738e-45,5.001786695013068e-31,1.174640355964533e-20,0.006716751294100064
scheirer1998/ismir2004,1.014509752978642e-08,0.7640322487485669,0.27805460492048156,0.004607073224196545,2.7838205337187115e-13,9.105698296759088e-26,3.5931165327087285e-37,3.6085676268911565e-10,0.019556602485771422,0.00022209808901290672,4.874373775463132e-05,0.11925517803626802,1.2477002603077727e-10,1.0,0.001979994881252028,1.219451112871601e-22,1.2720881066927653e-07,5.307026503532256e-09,8.44058471066185e-08,7.962532335044371e-10,0.0006694446870067487,3.6637972724563586e-42,7.131034851335363e-18,3.3829383353520444e-11,0.012548725070407468,2.436868504961265e-05
scheirer1998/percival2014,2.328490313596607e-17,0.005331113057376783,0.2223019625245889,2.5314169596314843e-08,1.4753426636964985e-19,8.451897538408278e-38,6.476426312932672e-46,0.00673887579219956,0.5817397182017077,0.19326113421186314,0.08811779977468091,0.1328140209248456,0.00017217198251035006,0.001979994881252028,1.0,6.286617813019535e-12,0.029449576005969865,0.005617974935149323,0.009284814998525959,0.0008862735479999422,0.5537691669251537,6.715981566618631e-48,7.848049552631909e-29,7.922393867134298e-18,1.9047142593073226e-07,0.24145972160013615
schreiber2014/default,2.697171333940373e-44,6.966259167020402e-18,1.8854891532653565e-19,3.4564620623087042e-34,9.02374691544275e-54,1.067397187298979e-77,1.7553705827620226e-88,0.0005568220321447313,7.09693167595054e-14,1.4289165436704565e-14,1.0541404806044016e-13,1.3570287659210063e-21,9.318792195009598e-07,1.219451112871601e-22,6.286617813019535e-12,1.0,4.445369926231681e-06,0.00012058224914699618,3.846911098945424e-07,0.0009377203863693689,1.9177932988782966e-13,1.9784425238539656e-81,1.871956402940057e-61,2.084936569298542e-48,1.2184190368183827e-33,2.2482513449914224e-12
schreiber2017/ismir2017,2.824272188064076e-26,4.506799521786935e-06,4.914627818163795e-06,1.3067885626405945e-15,2.7833504503571504e-28,1.032729524215805e-51,3.4584564846878435e-62,0.16244118042518174,0.0029422940216442734,0.02631086783016376,0.0624188173321267,4.0517210032605275e-07,0.5340343945413577,1.2720881066927653e-07,0.029449576005969865,4.445369926231681e-06,1.0,0.03121261533027385,0.8837608550300118,0.19037089698108212,0.03055486176979165,3.617979419974175e-64,4.632680145389611e-41,1.007776819671028e-27,3.5419129665324115e-15,0.11298300829053279
schreiber2017/mirex2017,6.794301831053958e-27,1.3324756075245684e-07,2.3850330218591366e-07,1.0817174071927492e-16,1.2575982807526718e-29,1.5477699592677984e-53,8.008610282926852e-66,0.48247045995822346,0.00020802867742164113,0.0034530665753321477,0.010211380720991202,1.2007354600835191e-08,0.8919981057842186,5.307026503532256e-09,0.005617974935149323,0.00012058224914699618,0.03121261533027385,1.0,0.5697827666815074,0.5149427215094186,0.004181128310131953,4.5243819370354337e-64,2.6315964791135376e-41,1.432180943528186e-28,1.1505450122588673e-16,0.021851243685089325
schreiber2018/cnn,2.3627100895456817e-27,1.639775147030857e-06,5.103919593723389e-07,6.079671396238183e-18,2.4796892648874675e-32,1.6843110738327583e-59,4.5081181557619307e-72,0.20287933930839144,0.0008239437219148186,0.013247286960409624,0.034420378639885944,8.488363021718777e-07,0.6404859434916184,8.44058471066185e-08,0.009284814998525959,3.846911098945424e-07,0.8837608550300118,0.5697827666815074,1.0,0.14791289625998003,0.0032867613489771896,9.834639520914262e-64,3.635135889757752e-39,1.4558677751206362e-27,5.030348805054732e-16,0.07025339937631742
schreiber2018/fcn,1.8924315265399063e-27,1.9656766350378845e-08,4.09987877278635e-09,1.1871288987865299e-16,5.5584987014128035e-34,1.8300229332232319e-59,1.7283528036568162e-72,0.9811449482008678,1.7085353827335937e-05,0.0006961472018851475,0.002104094707558496,1.2530614507970074e-07,0.44327141145918525,7.962532335044371e-10,0.0008862735479999422,0.0009377203863693689,0.19037089698108212,0.5149427215094186,0.14791289625998003,1.0,0.00025148722196619564,4.869829822270249e-63,2.169685499613542e-40,1.979582134382173e-30,8.1594690889296e-17,0.004222537246776557
schreiber2018/ismir2018,3.3001040310629916e-19,0.0068971526249722035,0.005806456186662282,1.3442467770584432e-12,1.3308313848327656e-23,2.0304230084098937e-48,2.399273207484645e-62,0.0006093061868029707,0.30251699653606373,0.9466967195134439,0.5980173607848673,0.005420592376421294,0.0018806149353269904,0.0006694446870067487,0.5537691669251537,1.9177932988782966e-13,0.03055486176979165,0.004181128310131953,0.0032867613489771896,0.00025148722196619564,1.0,9.780168770070276e-59,1.1080940360245073e-32,8.243336988527138e-21,2.6692917082477252e-11,0.4255441461154823
tzanetakis2002/ismir2004_hist,6.898706971546965e-24,1.3292594892071745e-38,8.80407540841117e-55,6.258964041650714e-36,1.167070907581534e-19,3.296964503917807e-07,2.035728179017026e-05,1.120258778364367e-64,1.2536401985164517e-55,3.5287836691437256e-67,1.6071883624143763e-68,1.4227340351942741e-59,1.8931893198652223e-68,3.6637972724563586e-42,6.715981566618631e-48,1.9784425238539656e-81,3.617979419974175e-64,4.5243819370354337e-64,9.834639520914262e-64,4.869829822270249e-63,9.780168770070276e-59,1.0,1.6205742274673207e-28,9.79022078587546e-35,1.4838393747609518e-40,4.377160825129612e-67
tzanetakis2002/ismir2004_mmul,0.0016334224496667357,6.015605701002341e-16,4.752152944812649e-26,6.602878097100932e-15,0.08806287007958491,0.0004066462390865413,1.0243263503470425e-05,3.642764644405016e-40,1.1702391943929783e-29,4.168917601448157e-44,6.821359578579192e-46,1.8569379111602397e-33,1.3042101232699738e-45,7.131034851335363e-18,7.848049552631909e-29,1.871956402940057e-61,4.632680145389611e-41,2.6315964791135376e-41,3.635135889757752e-39,2.169685499613542e-40,1.1080940360245073e-32,1.6205742274673207e-28,1.0,0.003369754367851513,9.845826500771134e-14,3.324732613636386e-42
tzanetakis2002/ismir2004_msum,0.18519861506099777,2.743989577533947e-10,3.2236723682181854e-15,2.46561078632449e-06,0.7788013163528625,1.5012059637788627e-07,2.50986300810432e-09,1.0323987582590995e-30,1.9021659431306434e-19,9.273504402682113e-26,6.0676669546209945e-27,5.072616731314498e-18,5.001786695013068e-31,3.3829383353520444e-11,7.922393867134298e-18,2.084936569298542e-48,1.007776819671028e-27,1.432180943528186e-28,1.4558677751206362e-27,1.979582134382173e-30,8.243336988527138e-21,9.79022078587546e-35,0.003369754367851513,1.0,1.3535402542627854e-06,4.641031464207477e-26
uhle2004/ismir2004,0.0004034268498247023,0.011428491086786402,0.00016836598216724016,0.7178165486238105,3.5142832135037736e-07,5.481664647555043e-23,4.945471091595848e-27,6.097797497736454e-17,2.21993926917941e-07,2.7533731858119025e-14,9.59885083848954e-16,9.326305761196266e-07,1.174640355964533e-20,0.012548725070407468,1.9047142593073226e-07,1.2184190368183827e-33,3.5419129665324115e-15,1.1505450122588673e-16,5.030348805054732e-16,8.1594690889296e-17,2.6692917082477252e-11,1.4838393747609518e-40,9.845826500771134e-14,1.3535402542627854e-06,1.0,3.268809358696459e-13
zplane/auftakt_v3,2.499633450671563e-22,0.0006885673526101572,0.0005796999592855365,1.164859465533951e-15,2.1392088330725565e-29,1.0313546137878509e-53,1.0860452753577356e-64,0.0032040496944753557,0.07419237569725634,0.38217146506167765,0.7013674914441903,2.2941468639516665e-05,0.006716751294100064,2.436868504961265e-05,0.24145972160013615,2.2482513449914224e-12,0.11298300829053279,0.021851243685089325,0.07025339937631742,0.004222537246776557,0.4255441461154823,4.377160825129612e-67,3.324732613636386e-42,4.641031464207477e-26,3.268809358696459e-13,1.0
