τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.085,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.09,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.095,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.1,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.105,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.11,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.115,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.12,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.125,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.13,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
0.135,0.00018194136248903973,0.0035287842519190213,0.0026940321459722263,0.1028999522772603,0.0019142977342031528,0.00306626333753589,0.002559736422559985,0.002559736193422432,0.0030194693378208194,0.003040382205429603,0.00440476647597474
