T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
97.0,0.5,0.55,0.525,0.6,0.35,0.625,0.55,0.675,0.6,0.6,0.6,0.725
98.0,0.5263157894736842,0.5526315789473685,0.5263157894736842,0.631578947368421,0.3684210526315789,0.6052631578947368,0.5526315789473685,0.6842105263157895,0.6052631578947368,0.6052631578947368,0.5789473684210527,0.7105263157894737
99.0,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.6111111111111112,0.3611111111111111,0.6111111111111112,0.5555555555555556,0.6944444444444444,0.6111111111111112,0.6111111111111112,0.5833333333333334,0.7222222222222222
100.0,0.5405405405405406,0.5405405405405406,0.5135135135135135,0.6216216216216216,0.35135135135135137,0.6216216216216216,0.5405405405405406,0.6756756756756757,0.5945945945945946,0.5945945945945946,0.5675675675675675,0.7027027027027027
101.0,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.6285714285714286,0.37142857142857144,0.6,0.5428571428571428,0.6857142857142857,0.6,0.6,0.5714285714285714,0.7142857142857143
102.0,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.6470588235294118,0.38235294117647056,0.6176470588235294,0.5588235294117647,0.7058823529411765,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.7352941176470589
103.0,0.5517241379310345,0.5172413793103449,0.5172413793103449,0.5862068965517241,0.4482758620689655,0.6551724137931034,0.5862068965517241,0.7586206896551724,0.5862068965517241,0.6206896551724138,0.6551724137931034,0.6896551724137931
104.0,0.5357142857142857,0.5,0.4642857142857143,0.5714285714285714,0.4642857142857143,0.6428571428571429,0.6071428571428571,0.75,0.5357142857142857,0.6428571428571429,0.6785714285714286,0.6785714285714286
105.0,0.5555555555555556,0.5185185185185185,0.48148148148148145,0.5925925925925926,0.48148148148148145,0.6296296296296297,0.6296296296296297,0.7777777777777778,0.5555555555555556,0.6296296296296297,0.7037037037037037,0.6666666666666666
106.0,0.5769230769230769,0.46153846153846156,0.4230769230769231,0.6153846153846154,0.5,0.6538461538461539,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.6538461538461539,0.6923076923076923,0.6153846153846154
107.0,0.5769230769230769,0.46153846153846156,0.38461538461538464,0.5769230769230769,0.46153846153846156,0.6153846153846154,0.5769230769230769,0.7307692307692307,0.5,0.6538461538461539,0.6923076923076923,0.6153846153846154
108.0,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.5769230769230769,0.46153846153846156,0.6153846153846154,0.5769230769230769,0.6923076923076923,0.5,0.6538461538461539,0.6923076923076923,0.6153846153846154
109.0,0.6666666666666666,0.4583333333333333,0.4166666666666667,0.5833333333333334,0.5,0.625,0.5833333333333334,0.7083333333333334,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.625
110.0,0.7142857142857143,0.47619047619047616,0.42857142857142855,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.7619047619047619,0.7142857142857143,0.5714285714285714
111.0,0.75,0.5,0.45,0.65,0.55,0.65,0.6,0.7,0.55,0.8,0.75,0.55
112.0,0.75,0.375,0.375,0.625,0.5625,0.625,0.625,0.625,0.5,0.8125,0.8125,0.5
113.0,0.75,0.375,0.375,0.625,0.5625,0.625,0.625,0.625,0.5,0.8125,0.8125,0.5
114.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.7857142857142857,0.7857142857142857,0.42857142857142855
115.0,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.36363636363636365
116.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,0.5,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
117.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,0.5,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
118.0,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.6363636363636364,0.7272727272727273,0.36363636363636365
119.0,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.5,0.5,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.6666666666666666,0.75,0.4166666666666667
120.0,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.8181818181818182,0.45454545454545453
121.0,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.8181818181818182,0.45454545454545453
122.0,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,0.75,0.8333333333333334,0.5
123.0,0.6363636363636364,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.8181818181818182,0.5454545454545454
124.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.5555555555555556
125.0,0.6,0.1,0.2,0.4,0.6,0.4,0.3,0.3,0.3,0.7,0.7,0.6
126.0,0.5,0.125,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.625,0.625,0.625
127.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714
128.0,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666
129.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.7142857142857143
130.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.7142857142857143
131.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
132.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
133.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.7142857142857143
134.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.7142857142857143
135.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.7142857142857143
136.0,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334
137.0,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334
138.0,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334
139.0,0.4,0.2,0.4,0.4,0.6,0.2,0.4,0.4,0.4,0.8,0.4,0.8
140.0,0.6,0.2,0.4,0.4,0.6,0.2,0.4,0.4,0.6,0.8,0.4,0.8
141.0,0.6,0.2,0.4,0.4,0.6,0.2,0.4,0.4,0.6,0.8,0.4,0.8
142.0,0.5,0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.5,0.75,0.25,0.75
143.0,0.5,0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.5,0.75,0.25,0.75
144.0,0.4,0.2,0.2,0.4,0.4,0.0,0.2,0.2,0.4,0.6,0.2,0.6
145.0,0.5,0.25,0.25,0.5,0.25,0.0,0.25,0.25,0.5,0.5,0.25,0.5
146.0,0.4,0.2,0.2,0.4,0.2,0.0,0.2,0.2,0.4,0.4,0.2,0.4
147.0,0.4,0.2,0.2,0.4,0.2,0.0,0.2,0.2,0.4,0.4,0.2,0.4
148.0,0.4,0.2,0.2,0.4,0.2,0.0,0.2,0.2,0.4,0.4,0.2,0.4
149.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.25
150.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.25
151.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.25
152.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.25
153.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
