Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
14,0.0,0.0022224421620449684,-0.0019609929066089007,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0,0.0
15,-0.006584676432255605,0.0048359148779055115,-0.0028205190623801072,-0.008558242331426769,-0.002826059021973883,-0.002826059021973883,-0.007775401005144932,0.005399987742588399,-0.007775401005144932
16,0.2289493179462305,0.2765872730649241,0.2765872730649241,0.04340324462758473,0.3673225334491809,0.3673225334491809,-0.32959605608340736,0.27994446735841466,0.13658029218723738
17,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.002516773061272718,0.002954434518720495,0.002954434518720495,0.003002488161518767,0.003002488161518767,0.003002488161518767
18,-5.04952100793903e-05,0.0014479793855441366,0.0014479793855441366,0.013415926070126276,-0.01184496509777848,-0.01184496509777848,-0.0055409579576148945,-0.0055409579576148945,0.03538930609726716
19,-0.38736756142347406,0.42892157777108925,-0.30805239122954886,0.3486081132333637,-0.3997482538567825,-0.3997482538567825,0.07724299893246005,-0.3485209069394422,-0.3485209069394422
20,0.005624549193878107,0.008900169758310534,0.00235689817117838,-0.0002872848135458209,0.0021477384306694447,0.0021477384306694447,0.009466615488272328,0.009466615488272328,0.009466615488272328
21,-5.770895582483005e-05,0.04767239194852681,0.00036293641679838054,-0.01339436411802929,0.015931009303076612,0.015931009303076612,0.011495638837826894,0.011495638837826894,0.011495638837826894
22,2.4044716983910125e-05,0.05765313059322005,-0.015595851437418479,-0.19940578472337747,0.030094735507490325,0.030094735507490325,0.007673927885428817,-0.04890960048093877,0.06212171190780517
23,3.523769154196405e-15,0.019104077232531384,-0.001961956011838409,-0.0001354754250066727,-0.0001354754250066727,-0.0001354754250066727,3.523769154196405e-15,3.523769154196405e-15,3.523769154196405e-15
24,1.2813706015259665e-15,0.019099331501741354,-0.0019614744591436076,-0.000514845444477996,-0.00013542733065898644,-0.00013542733065898644,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15
25,0.012104982000587537,0.035591184813519236,-3.342282226602361e-05,-0.006530702081560824,0.013166998506267895,0.013166998506267895,0.002282460676492378,0.016496319896193122,0.002282460676492378
26,0.004901036811029766,0.025198250989733086,0.0021108971225959807,0.0038388546396556783,0.0031460570683623183,0.0031460570683623183,0.0015620736570777709,0.0015620736570777709,0.0015620736570777709
27,3.12580539235026e-05,0.02070534434825862,0.0008084040363438508,0.0024032482901356757,0.0013996463313364596,0.0013996463313364596,-0.00264736840485765,0.010063683344696208,-0.00264736840485765
28,-0.004686343317216953,0.026069184116411216,0.009395747032101118,-0.0017324148542399989,-0.0017324148542399989,-0.0017324148542399989,-0.0004008042923108678,-0.025062858526580006,-0.0004008042923108678
29,9.136779264099252e-05,0.01243887874272296,0.0029794288515145933,0.001835157078711456,0.001835157078711456,0.001835157078711456,0.0018022426339863436,0.0018022426339863436,0.0018022426339863436
30,-5.770895582483005e-05,0.04767239194852681,0.00036293641679838054,0.003046810911512659,0.0010018057762874626,0.0010018057762874626,0.011495638837826894,0.011495638837826894,0.011495638837826894
31,0.007090824459138505,0.004685350341102471,0.0005892806718376933,-0.0006096960215047116,-0.0010958183435717808,-0.0010958183435717808,-0.0009019662943921606,-0.0009019662943921606,-0.0009019662943921606
32,0.007195501404197391,0.009417943566242162,0.0010630548279804762,0.008386915871424585,0.0012647434797368599,0.0012647434797368599,0.007195501404197391,0.01916814307027346,0.007195501404197391
33,-0.004730167705422773,0.04672948155699929,-0.003118404886373651,-0.004903108918635287,-0.0019856049615634658,-0.0019856049615634658,-0.00324972115079202,-0.00324972115079202,-0.00324972115079202
34,0.025422596879915226,0.06159767502761802,0.01097160195765019,0.047304635600703374,-0.3436562929388155,-0.3436562929388155,0.025422596879915226,-0.02348700360103104,0.037395238545991215
35,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06,0.0,0.0,0.0
36,3.523769154196405e-15,0.019104077232531384,-0.001961956011838409,-0.0001354754250066727,-0.0001354754250066727,-0.0001354754250066727,3.523769154196405e-15,3.523769154196405e-15,3.523769154196405e-15
37,-0.008700385757142885,0.021671600198036663,-0.003860944563412176,-0.4191131415470954,-0.419636161630592,-0.419636161630592,-0.4162402463604961,-0.014499569695110074,-0.014499569695110074
38,0.05249627350642385,0.0070270575232500585,0.07628994328913508,-0.05633472198877858,0.07311645597677482,0.07311645597677482,0.06396305873197067,0.11458913180193891,0.06396305873197067
39,-0.012348061723928902,0.011138141089002716,-0.0032121269815739706,-0.0029257479604195813,-0.009610122488695834,-0.009610122488695834,-0.00795672382832339,0.020057652341273064,-0.00795672382832339
40,0.017102366971214537,0.4391414200889591,-0.005643143423626362,0.017923814174132458,0.005668090507732385,0.005668090507732385,0.0016021045964918596,0.0016021045964918596,0.0016021045964918596
41,0.0040542822531591275,0.03870759795460387,0.0002298210475050218,0.00012161406598628973,0.0005398421518439104,0.0005398421518439104,0.00024042913827676722,0.00024042913827676722,0.00024042913827676722
42,0.04729904256942647,-0.14869904225126956,0.11823786391286384,0.05439872000135179,0.1295308741428745,0.1295308741428745,0.1683144435307924,0.1683144435307924,0.1683144435307924
43,-5.7708955813777786e-05,0.02564496897675684,-0.006775392073838487,-0.05959822685307693,0.0007743078154196594,0.0007743078154196594,0.0076739278854297726,0.0076739278854297726,0.0076739278854297726
44,-0.09113586564961171,-0.08411915557000635,-0.09268012222132922,-0.09282013007861571,-0.10778014648719063,-0.10778014648719063,-0.12029423371770898,-0.09644749176334132,-0.09644749176334132
45,-6.251813968068033e-05,0.010910045352820159,0.004122184767603214,0.003273720524635305,0.003273720524635305,0.003273720524635305,0.003362367190753541,0.003362367190753541,0.003362367190753541
46,0.039449013777225296,-0.450693211768907,0.10873048400856426,0.42140111920001894,0.30100432287933604,0.30100432287933604,0.3832204333656493,-0.3133874231844158,0.2715750775367403
47,0.004990297610323935,0.02699547375583894,0.005164609824743349,0.0029332179406573685,0.003391918867155962,0.003391918867155962,0.0033623671907580155,0.0033623671907580155,0.0033623671907580155
48,-0.0020747848612696048,-0.2945190402595079,0.0004241878084643,-0.00133469907706604,-0.0004724738287056643,-0.0004724738287056643,-0.0005438417499379764,0.021151229349380983,0.021151229349380983
49,0.0039727566508931215,0.026709423384943875,-0.0007710199181581774,0.00036216837472578724,-0.0009500199371913575,-0.0009500199371913575,-0.0009019662943931223,-0.0009019662943931223,-0.0009019662943931223
50,-5.289978800597354e-05,0.022794373381556324,-0.004683850593867292,-0.4533985136687113,0.08298378074341466,0.08298378074341466,-0.027184829326235165,-0.027184829326235165,-0.027184829326235165
51,-5.125482406103878e-15,0.019099331501734717,0.0032760044105458,0.0006229173993693117,0.001380671543746988,0.001380671543746988,-5.125482406103878e-15,-5.125482406103878e-15,-5.125482406103878e-15
52,-8.896893742487344e-05,0.007027057523244639,0.0024143725964087476,0.001513342095139036,0.001513342095139036,0.001513342095139036,0.0014419741739066416,0.0014419741739066416,0.0014419741739066416
53,-5.289978799844521e-05,0.02279437338156389,-0.004683850593859739,-0.003552992508001407,-0.0048650699405714225,-0.0048650699405714225,-0.0048170162977730635,-0.0048170162977730635,-0.0048170162977730635
54,0.005468856970382326,0.0271291568946314,0.0015930877243179812,-0.025325941927768,0.0019015282159186091,0.0019015282159186091,0.00689640426601437,-0.009045139603007277,-0.009045139603007277
55,3.523769154196405e-15,0.019099331501743567,-0.001961474459141362,0.00024360253497967188,-0.00013542733065674385,-0.00013542733065674385,3.523769154196405e-15,3.523769154196405e-15,3.523769154196405e-15
56,-1.2022508763044214e-05,0.042430718687561486,0.01140856880139794,0.00478641544963346,0.0037465949015184873,0.0037465949015184873,-0.001202747081652481,0.025028794491527166,-0.001202747081652481
57,0.0,0.03617507814770278,0.0022224421620449684,-0.0007045197570204304,-0.00023036869978592092,-0.00023036869978592092,0.0,0.0,0.0
58,3.125805391837723e-05,0.020705344348253253,0.004764079639542251,-0.014753846458431006,-0.006654427844553823,-0.006654427844553823,-0.002647368404862785,0.010063683344691116,-0.002647368404862785
59,-0.00564656314113563,0.02410040338559138,-0.002370942576703307,-0.0012382734332289128,-0.001843173870532021,-0.001843173870532021,-0.001804496846741462,-0.001804496846741462,-0.001804496846741462
60,-3.847238073153482e-05,0.03461484332071301,0.005663469624583924,-0.047711904714627947,0.005202133913774467,0.005202133913774467,-0.01449956969512237,-0.01449956969512237,0.01720929003221582
61,0.06637856175388451,0.17290466758077633,0.1996732241930745,0.21892098620617886,-0.013413616999893511,-0.013413616999893511,0.1917731862780566,0.17291415902674084,0.1917731862780566
62,0.00010819807069396964,0.029255329939827792,-0.0017668199463356463,-9.754150456483103e-05,-0.0011314010183551787,-0.0011314010183551787,-0.0012027470816528018,-0.0012027470816528018,-0.0012027470816528018
63,-0.40596110162191057,0.019099331501741354,0.0032760044105521924,-0.4151731061617508,-0.4151731061617508,-0.4151731061617508,1.2813706015259665e-15,1.2813706015259665e-15,-0.42146376843827543
64,0.10488192155880205,-0.008266545237897762,0.2847819092153739,-0.3642968722321935,0.16134613170817072,0.16134606419860684,0.13613285554324164,0.18675892861320975,0.18675892861320975
65,-0.008359341967791653,0.0325654995583516,-0.0020828067427772624,-0.0030968184003394806,-0.0035029524397445114,-0.0035029524397445114,-0.003611253552348327,-0.003611253552348327,-0.003611253552348327
66,-0.018897499632040734,0.10182503539626649,0.021334266094773072,0.004105861601833499,0.0026681424884007097,0.0026681424884007097,-0.03603273124475678,0.0547327326784256,0.0370307309449664
67,-0.007838740521404328,-0.013731502643538989,0.02048442206509824,0.21508739653074685,-0.027889306984078377,-0.027889306984078377,0.043204498565181555,0.06027801192412314,0.043204498565181555
68,0.0,0.03617507814770278,0.0022224421620449684,0.00024367465754749417,0.00024367465754749417,0.00024367465754749417,0.0,0.0,0.0
69,1.2022408579252243e-05,0.04402042752224425,0.0009519847914791741,0.0016790385414592842,0.0009307237259192343,0.0009307237259192343,0.0009614762374438068,0.0009614762374438068,0.0009614762374438068
70,0.04009460833230626,0.3195586876945125,0.030796095834009024,0.08048441016581985,0.01619829378718553,0.01619829378718553,-0.0018044968467494805,0.0435194936627407,0.028569152196769348
71,0.006861704983960619,0.03256438291653133,0.0001440218659361357,-0.00021140698062284513,-0.0021944443466189187,-0.0021944443466189187,0.0021023976420073967,0.014593341825204338,-0.010497639137626191
72,0.017472999706293936,0.030388817299137737,0.004856272537689065,0.004772333384754304,0.0043801216537063615,0.0043801216537063615,0.004201735978613143,0.014117204843695944,0.004201735978613143
73,-0.055695005708001406,-0.08465999720365638,-0.04685901134413251,-0.14986488147573018,-0.06996528755575017,-0.06996528755575017,-0.05426745841236936,0.08179409116365915,-0.07020900228139104
74,0.10574176423459312,0.1285890374041554,0.11021455591791489,0.10617100252748393,0.11182776073030648,0.11182776073030648,0.10097764772481853,0.12300395405481744,0.0898370901196183
75,1.2022408579252243e-05,0.04402042752224425,0.0009519847914791741,0.000556515654169325,0.0009307237259192343,0.0009307237259192343,0.0009614762374438068,0.0009614762374438068,0.0009614762374438068
76,0.024686098951244947,0.3097256809305537,-0.2634594286854776,-0.0415513638890927,-0.03580593975949403,-0.03580593975949403,-0.009892253269607588,-0.009892253269607588,-0.009892253269607588
77,0.00010819807069396964,0.029255329939827792,-0.0017668199463356463,0.3110423976782194,-0.0011314010183551787,-0.0011314010183551787,-0.0012027470816528018,-0.0012027470816528018,-0.0012027470816528018
78,-0.01297752808820483,0.02446472162685723,-0.005911998184235977,-0.015275982026923396,-0.00996803003850567,-0.00996803003850567,-0.001443416869650922,-0.001443416869650922,-0.001443416869650922
79,0.0,0.03617507814770278,-0.0019609929066089007,-0.00023036869978592092,0.00024367465754749417,0.00024367465754749417,0.0,0.0,0.0
80,0.008590867115704648,0.015592420954605562,0.0006395251692847843,-0.0011052559567472523,-0.0055215371007401055,-0.0055215371007401055,-0.00012022959637891202,-0.00012022959637891202,-0.00012022959637891202
81,-0.29382017199413435,-0.12624003166229827,-0.3726766707410221,0.26899364041444734,0.46355823596434814,0.46355823596434814,-0.34625205709003454,-0.1647046880309693,0.47759098775613856
82,0.00011541098689074429,0.25411991948801443,0.00036293641679838054,-0.11064346653382329,0.009842290749911319,0.009842290749911319,0.011495638837826894,0.011495638837826894,0.011495638837826894
83,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.002954434518720495,0.002954434518720495,0.002954434518720495,0.003002488161518767,0.003002488161518767,0.003002488161518767
84,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.002954434518720495,0.002954434518720495,0.002954434518720495,0.003002488161518767,0.003002488161518767,0.003002488161518767
85,0.025983186024182293,0.03740377733434342,-0.3795532210348384,0.04783068578618451,0.038039196262323896,0.038039196262323896,-0.35107444054687303,-0.3858398587075496,-0.35107444054687303
86,-5.7708955813777786e-05,0.02564496897675684,0.001254599014110228,-0.002184932177857354,-0.003172779467052753,-0.003172779467052753,-0.004817016297767117,-0.004817016297767117,-0.004817016297767117
87,-0.012687320888029277,0.2209837304384847,0.013388017911273864,-0.026538456629379172,-0.20275434584225757,0.2122832242106381,0.2551985664196882,0.0723345092698778,-0.007835839414105695
88,0.02327960404262318,0.00959876789745763,0.0006153585174875559,0.013206824489736918,-0.02912995533842515,-0.02912995533842515,0.01851548753284861,0.01851548753284861,0.01851548753284861
89,0.006882524653354453,0.013884078492255267,-0.0010688172930654314,-0.00281359841909754,-0.002012171764696529,-0.002012171764696529,-0.0018285720587290345,-0.0018285720587290345,-0.0018285720587290345
90,-0.006790007802079903,0.013884078492255267,-0.002057186216455843,0.00757121532036662,-0.001411317623133173,-0.001411317623133173,-0.009468634260861033,-0.022292674618444676,-0.009468634260861033
91,0.43696429811586124,0.514366427832309,0.48756518205208005,-0.01649807213430771,0.4399233517667017,0.4399233517667017,0.44342983977848544,-0.007231569231079566,0.4197785717138399
92,0.07796644417439871,0.10656105610726972,0.04160980168006978,0.04448827909651365,0.10687109842330907,0.10687109842330907,0.09592441999853293,-0.07400058144377962,0.08519801340547428
93,-7.93504094011899e-05,0.015960433538121543,0.00036272006696607946,-0.0028401927008356786,-0.001302273610667725,-0.001302273610667725,-0.0014434168696645501,-0.0014434168696645501,-0.0014434168696645501
94,-0.008462735026295862,0.0325654995583278,-0.002086924369830109,-0.003909303913366054,-0.003502952439768435,-0.003502952439768435,-0.0036112535523722526,-0.0036112535523722526,-0.0036112535523722526
95,0.16299627777371753,-0.2837525062900531,0.10190096287886448,0.12756024405434338,0.06172243157371793,0.06172243157371793,0.1636597383698614,-0.03135624403528148,-0.2131945670210946
96,-0.033003591410160106,0.3807340654157748,0.485072121038275,-0.018071634600263058,-0.03691417354049354,-0.03691417354049354,-0.03652587602511371,-0.03652587602511371,-0.03652587602511371
97,0.027224839513900805,0.03797341252714092,-0.00015955286026429327,0.2311931442411817,-0.010011008736784843,-0.010011008736784843,0.0018022426339940221,0.0018022426339940221,0.0018022426339940221
98,-0.00012263429049681868,0.0025379915640538495,0.0025379915640538495,-0.00222297882094557,-0.0017150573416518293,-0.0017150573416518293,-0.001924876924482174,-0.001924876924482174,-0.001924876924482174
99,0.0,0.0022224421620449684,-0.0019609929066089007,-0.00023036869978592092,0.00024367465754749417,0.00024367465754749417,0.0,0.0,0.0
100,-0.007290373744959608,0.4294082071081971,-0.017479567972016205,-0.008977175044086617,-0.025357370861089076,-0.025357370861089076,-0.005862826449327726,-0.02180437031834926,-0.02180437031834926
101,8.655910570573965e-05,0.02001233620839755,0.0018653524074652428,0.04660121907799803,-0.0020140549436169406,-0.0020140549436169406,0.010779838753242444,-0.011587974275212168,0.010779838753242444
