T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
88.0,0.9928571428571429,0.9785714285714285,0.9785714285714285,0.9857142857142858,0.7642857142857142,0.4928571428571429,0.9571428571428572,0.7428571428571429,0.7142857142857143,0.8357142857142857,0.6285714285714286,0.9142857142857143,0.95,0.9785714285714285,0.9857142857142858,0.9785714285714285,0.9928571428571429,0.95,0.8285714285714286
89.0,0.9928057553956835,0.9784172661870504,0.9784172661870504,0.9856115107913669,0.762589928057554,0.4892086330935252,0.9568345323741008,0.7482014388489209,0.7194244604316546,0.8345323741007195,0.6258992805755396,0.9136690647482014,0.9496402877697842,0.9784172661870504,0.9856115107913669,0.9784172661870504,0.9928057553956835,0.9568345323741008,0.8273381294964028
90.0,0.9951456310679612,0.9854368932038835,0.9854368932038835,0.9902912621359223,0.8398058252427184,0.6504854368932039,0.970873786407767,0.8300970873786407,0.8106796116504854,0.8883495145631068,0.616504854368932,0.941747572815534,0.9660194174757282,0.9854368932038835,0.9902912621359223,0.9854368932038835,0.9951456310679612,0.970873786407767,0.8786407766990292
91.0,0.9951219512195122,0.9853658536585366,0.9853658536585366,0.9902439024390244,0.8390243902439024,0.6487804878048781,0.9707317073170731,0.8292682926829268,0.8097560975609757,0.8878048780487805,0.6146341463414634,0.9414634146341463,0.9658536585365853,0.9853658536585366,0.9902439024390244,0.9853658536585366,0.9951219512195122,0.9707317073170731,0.8780487804878049
92.0,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.8589743589743589,0.6965811965811965,0.9700854700854701,0.8589743589743589,0.8376068376068376,0.8974358974358975,0.6495726495726496,0.9487179487179487,0.9700854700854701,0.9871794871794872,0.9871794871794872,0.9829059829059829,0.9914529914529915,0.9700854700854701,0.8931623931623932
93.0,0.9914163090128756,0.9914163090128756,0.9914163090128756,0.9914163090128756,0.8583690987124464,0.6952789699570815,0.9699570815450643,0.8583690987124464,0.8369098712446352,0.8969957081545065,0.648068669527897,0.9484978540772532,0.9699570815450643,0.9871244635193133,0.9871244635193133,0.9828326180257511,0.9914163090128756,0.9699570815450643,0.8927038626609443
94.0,0.992619926199262,0.977859778597786,0.977859778597786,0.977859778597786,0.8782287822878229,0.7380073800738007,0.974169741697417,0.8782287822878229,0.8597785977859779,0.9114391143911439,0.6236162361623616,0.955719557195572,0.974169741697417,0.988929889298893,0.988929889298893,0.985239852398524,0.992619926199262,0.974169741697417,0.9077490774907749
95.0,0.9914893617021276,0.9744680851063829,0.9744680851063829,0.9744680851063829,0.9063829787234042,0.7872340425531915,0.9787234042553191,0.9234042553191489,0.9063829787234042,0.9361702127659575,0.6212765957446809,0.9744680851063829,0.9787234042553191,0.9872340425531915,0.9914893617021276,0.9829787234042553,0.9914893617021276,0.9744680851063829,0.9148936170212766
96.0,0.9914893617021276,0.9744680851063829,0.9744680851063829,0.9744680851063829,0.9063829787234042,0.7872340425531915,0.9787234042553191,0.9276595744680851,0.902127659574468,0.9361702127659575,0.6170212765957447,0.9744680851063829,0.9787234042553191,0.9914893617021276,0.9914893617021276,0.9829787234042553,0.9914893617021276,0.9744680851063829,0.9148936170212766
97.0,0.9914893617021276,0.9744680851063829,0.9744680851063829,0.9744680851063829,0.9063829787234042,0.7872340425531915,0.9787234042553191,0.9276595744680851,0.902127659574468,0.9361702127659575,0.6170212765957447,0.9744680851063829,0.9787234042553191,0.9914893617021276,0.9914893617021276,0.9829787234042553,0.9914893617021276,0.9744680851063829,0.9148936170212766
