T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
131.0,0.1265518510771285,0.058647861768190014,0.09825901962898707,0.24689265554319406,0.276838275063471,0.20766535851699705,0.08140550788325603,0.12296245998005427,0.10234828184009372
132.0,0.1265518510771285,0.058647861768190014,0.09825901962898707,0.24689265554319406,0.276838275063471,0.20766535851699705,0.08140550788325603,0.12296245998005427,0.10234828184009372
133.0,0.10847734325297373,0.05127357154880363,0.08451179500666336,0.21189548599696292,0.23756315987148602,0.17827208854593693,0.06998235202417215,0.10560259667857064,0.08793330113003303
134.0,0.10847734325297373,0.05127357154880363,0.08451179500666336,0.21189548599696292,0.23756315987148602,0.17827208854593693,0.06998235202417215,0.10560259667857064,0.08793330113003303
135.0,0.10780173454205723,0.04528602532310586,0.038368230136168975,0.20113089050176014,0.24082239040726097,0.171649473860787,0.030978379546517467,0.10155463951832248,0.03826421791399249
136.0,0.10780173454205723,0.04528602532310586,0.038368230136168975,0.20113089050176014,0.24082239040726097,0.171649473860787,0.030978379546517467,0.10155463951832248,0.03826421791399249
137.0,0.10780173454205723,0.04528602532310586,0.038368230136168975,0.20113089050176014,0.24082239040726097,0.171649473860787,0.030978379546517467,0.10155463951832248,0.03826421791399249
138.0,0.10780173454205723,0.04528602532310586,0.038368230136168975,0.20113089050176014,0.24082239040726097,0.171649473860787,0.030978379546517467,0.10155463951832248,0.03826421791399249
139.0,0.12584991958327918,0.04626161388662506,0.03888367042048793,0.23283107092441582,0.12072696996074558,0.03771947010497686,0.028031792396039323,0.11272330436220535,0.03677479843700935
140.0,0.11139488312773267,0.09195873065140799,0.08836668970339326,0.2380018438802737,0.16989453943142555,0.025841432036123203,0.08308686858943795,0.16777838055560396,0.08901907480513382
141.0,0.11139488312773267,0.09195873065140799,0.08836668970339326,0.2380018438802737,0.16989453943142555,0.025841432036123203,0.08308686858943795,0.16777838055560396,0.08901907480513382
142.0,0.136870533137079,0.10224140818151216,0.10479993439420564,0.28723560954057503,0.20210147897951486,0.022035094735386923,0.09381073963123383,0.2050584199763517,0.10933136682394805
143.0,0.136870533137079,0.10224140818151216,0.10479993439420564,0.28723560954057503,0.20210147897951486,0.022035094735386923,0.09381073963123383,0.2050584199763517,0.10933136682394805
144.0,0.17387921781456386,0.11589937768287797,0.0839605702531273,0.24765742265908036,0.18010851257103327,0.03605540517573093,0.09496640858838,0.18919501043566803,0.15528503004446334
145.0,0.10870059738865942,0.13133506793315158,0.09864992898602724,0.2046489269664975,0.22334051879799782,0.04327413455386989,0.11744745981898802,0.13147383730838708,0.1849185217072577
146.0,0.10309587230321075,0.19874729539941718,0.10145052727285779,0.26084318383164806,0.19445681348214794,0.0504037060868456,0.10588516926999143,0.11888190153080118,0.15986201878060718
147.0,0.10309587230321075,0.19874729539941718,0.10145052727285779,0.26084318383164806,0.19445681348214794,0.0504037060868456,0.10588516926999143,0.11888190153080118,0.15986201878060718
148.0,0.10309587230321075,0.19874729539941718,0.10145052727285779,0.26084318383164806,0.19445681348214794,0.0504037060868456,0.10588516926999143,0.11888190153080118,0.15986201878060718
149.0,0.11002188500903663,0.2365163098010319,0.11364181150319483,0.22481767863782504,0.13327597096541896,0.056968961541001936,0.12183576045856896,0.13059337025917425,0.18930682234683865
150.0,0.11002188500903663,0.2365163098010319,0.11364181150319483,0.22481767863782504,0.13327597096541896,0.056968961541001936,0.12183576045856896,0.13059337025917425,0.18930682234683865
