Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
39,1.1183139741383439,0.01355211655604765,0.02269629143457526,0.12433938488639353,2.1135927133845898,1.123937826084662,1.0470092174241334,1.0895440109946355,1.0895440109946355,1.350440037897859,1.1169499076780804,1.415291182247827,1.0973211009291477
40,0.002058589243795157,0.9925359049888252,0.9902365271600451,0.9892499565442869,1.782498546937168,0.9934447905738327,1.801807676102583,0.9940834568532395,1.9940834568532395,0.8013670656344484,0.8013670656344484,0.8013670656344484,0.8013670656344484
41,0.02641207675435158,0.9342825489911072,0.958396924367614,1.086551377574099,0.8716172803177749,0.1935485018096288,0.04054455039466099,0.05731593306091176,0.05731593306091176,0.10846460483104388,0.10846460483104388,0.05783853176107582,0.3571989675177679
42,1.0851504314695144,0.017527940115248903,0.01695487355721176,0.05821905519683886,1.0792576693473799,0.023975150097892327,0.11661107684765688,0.9184617336308165,0.08153836623321976,1.0926044020084178,0.6627394850519347,0.32883874849849626,0.3877324375520648
43,0.03554741438414998,0.9904367774672429,0.03175543659027427,0.47250523817402873,0.7974331204585804,0.6034459529143682,0.6308140068045371,0.6336605097968594,0.04869808937016068,0.016640550566178174,0.06196454107566854,0.04609520478178451,0.016640550566178174
44,0.04629067289743537,0.07308512685355366,0.05012301919734807,0.030489219275104524,1.1719174878140208,0.12460803228229228,0.10325209752522266,0.025711129231875296,0.025711129231875296,0.13574073470332118,0.13574073470332118,0.13574073470332118,0.13574073470332118
45,0.0018893189971596897,0.9752851070651971,0.8930007340461747,0.028647953924849597,0.03654224874302864,0.04435812410986498,1.0306746756046363,0.07245369026950378,0.07245369026950378,0.04100511723156483,0.04100511723156483,1.0410051172315649,0.8710801157892526
46,0.02983590448565364,0.027222186533569358,0.02308069561295353,0.02231505581316094,0.8479114860205633,8.893795892675763e-05,0.0369667002754388,0.01578148526765189,0.01578148526765189,0.02599383819125942,0.02599383819125942,0.02599383819125942,0.02599383819125942
47,0.9914732364547246,1.0279214478951328,1.0389263108688578,1.0096320040748197,2.3801330614027414,0.968704777802402,1.03800795605156,1.03800795605156,0.03800795605156005,1.0284558783664748,1.131549371330578,1.0105339703692122,1.0809232982606103
48,0.7943505150409307,0.7922118461048882,0.21146800164692664,0.16999068148788998,0.8013689000835332,0.19863444984440556,0.21092614219057415,0.20892933913616069,0.20892933913616069,0.07253642412828948,0.8158182200428014,0.04216277508477066,0.23480785302716664
49,0.0027531346065193065,0.06258803707307739,0.09569723449585639,0.002015233806348457,1.924773029091166,0.029469793604391965,0.011570976627541817,0.9938433850340543,0.006156614965945667,0.06613585733501645,0.014605556694934187,1.0406007652278788,0.038833702266526125
50,0.0043063844859333265,0.006919963173344863,0.006267012249825637,0.00037711730657268076,0.01834598094393929,0.0001902356964388532,0.0010946796105882205,0.0017405737682519868,0.0017405737682519868,0.00037711730657268076,0.00037711730657268076,0.00037711730657268076,0.016111005481996177
51,0.001111291970901086,0.05173822171666551,0.9911335407614557,0.00602246415086686,0.6206742091345032,0.0027644772751633144,0.012520181303806706,0.0075454098044783,0.0075454098044783,0.04933305074547413,0.013402704602488408,0.0025388392665331183,0.11293837815340296
52,1.3599334547073325,0.864853310760566,0.8569016369052797,0.2778408224707078,1.2600125913168165,1.2600125913168165,0.8561992551404256,1.2206902215857205,1.2206902215857205,0.9019077433187543,0.9525338163887224,0.9525338163887224,0.3613393619560517
53,0.22062728941699505,0.16680191098802713,0.665885731198766,0.21787609558229645,1.994071651364602,1.0167910578781643,1.0841842788680713,0.6953783942480127,0.11041587155077152,1.0510076525733227,0.868143595423512,0.9254767704894636,1.1016337256432907
54,0.006206466298776168,0.005091231889476364,0.0006108526217544123,0.0017506919520639225,1.05142261957746,0.00023608052701078988,0.013780624777740941,0.009365303124007834,1.0093653031240077,0.0014434168696688449,0.0014434168696688449,0.0014434168696688449,0.0014434168696688449
55,3.1257949732711314e-05,0.0051354887250344245,1.0045082300017234,0.0018454187908498267,0.38072925644031985,0.1587864350515668,0.5636455411661291,0.6061623798924556,0.021199799868779252,0.02620507034739392,0.07152906085688429,0.020589141131547258,0.08544028548151515
56,1.0644828293743218,0.020158437428988613,0.06141148208508716,0.021308453465084334,0.3147586681578957,0.03439305896124038,0.03350414910352808,0.03799157151337106,0.9620084284866289,0.13645390926865064,0.02839416341119765,0.07371815392068799,0.18536350974959712
57,0.016030566539643954,0.9824169622218881,0.9721636856529924,0.9922502051577423,0.03015353280563426,0.9945098334843412,1.112219156143077,0.9825838952725192,0.017416104727480765,0.987816949964478,1.0043050727530467,1.0043050727530467,1.0043050727530467
58,0.008909092487813424,0.01934773735218467,0.018262759455752675,0.0005714775439707314,1.169944542873905,0.5987900749673937,0.01777538760069565,0.01777538760069565,0.01777538760069565,0.05887170496163751,0.5637612137255738,0.6220598542902407,0.05887170496163751
59,0.9999451769853865,1.000630314976555,0.9972013666473267,1.0076001998999518,1.0028068938104182,0.5514248396105633,0.9958081899908485,0.9968916744231044,0.0031082981067880495,1.0235986736684841,0.9825714054084296,1.0235986736684841,1.0235986736684841
60,0.020512868891812405,0.00306896047216435,0.008101523872247779,0.010162680722245137,1.027153939839164,0.0040633321538853994,0.0297793679230634,0.023381650281550936,0.023381650281550936,0.0555598159910132,0.009017230053982863,0.013702846446100576,0.009017230053982863
61,0.7192473620425293,0.10062269395983793,0.11253153418630164,0.04302766819873606,0.16100871172886125,0.21536695781015344,0.3048707594082586,0.23730739893608813,0.23730739893608813,0.6450080810234212,0.715891567179931,0.6959920097422261,0.08065585997755116
62,0.023494845768653207,0.03591410502272108,0.028737043963594253,0.01669535826522644,1.0306108722293228,0.2179812314598157,0.026389365452677963,0.01991682648976427,0.01991682648976427,0.02502578887998483,1.0359141050227212,1.0250257888799847,0.019368330478468625
63,8.175067523867238e-05,0.013222641250582258,0.01371776052818315,0.008280771697386226,0.01412134713324445,0.0017370224811914048,9.679229489532851e-05,0.004422577861562586,0.004422577861562586,0.020335639292690878,0.020335639292690878,0.044515505057277194,0.020335639292690878
64,2.3576575051986923,0.6043242653516238,0.5869370776292794,0.619837264722948,2.1988728149019776,1.5118133129941798,0.23933206945552596,1.2846339572612955,1.2846339572612955,1.5297134420095408,1.3653266241086583,1.3147005510386904,1.3147005510386904
65,0.908409342471602,0.07564396131509674,0.06935124686251336,0.09977204819603346,0.9340151737538056,0.06598298378379575,0.013209209329239817,0.09677716728429474,0.09677716728429474,0.035346131804179844,0.035346131804179844,0.08597220487414786,0.035346131804179844
66,1.0389150819985244,0.09179464160147319,0.1249379043497351,0.12450289905746313,1.1231100000442287,0.14406389586831778,0.1680213329469021,0.17433824487533706,0.17433824487533706,0.0688882075359905,0.0688882075359905,0.07313079733643754,0.13202448639000605
67,1.0448653072218244,0.913425986251264,0.9238426021966022,0.004774151264162741,1.7431609129031747,0.9995036252738173,1.0444108266345649,2.061213251929846,1.061213251929846,1.4339607173197388,1.492259357884406,1.4339607173197388,0.8113277986325277
68,1.1866607989850426,0.03971498010236297,0.11846276833040324,0.07706516228845275,1.219266230115877,0.14245084243577044,0.16507598647885133,0.00019365077410760304,0.9998063492258924,0.9607004055966682,0.27620223132459776,0.27620223132459776,0.27620223132459776
69,0.029455901015821597,0.9908651593847585,1.0043053422781245,0.013893381994007487,1.0271039546858494,0.9868405171717193,0.0018009721691958492,1.0194676298576646,1.0194676298576646,0.03435327845186351,0.05679460960633196,0.9742322860142927,1.1745309365001237
70,1.0000201974680056,0.009080484986457062,0.002441843090545304,0.005443413256324828,1.0476581525866993,1.0170766024017759,0.011681798479307243,0.03181197361980419,0.03181197361980419,0.031386540131257266,0.031386540131257266,1.0114869826935524,1.0114869826935524
71,1.7842597673149856,0.16971627604411155,0.20545170368185303,0.2401340037237149,0.8643669473366545,0.8319465862860591,0.781177359671964,0.8136444902279362,0.8136444902279362,0.7957698331753594,0.8463959062453273,0.8085938735329429,0.10469449327372617
72,0.03826463893465509,0.944088255359019,0.9398947300168808,0.9912951587924589,0.09712831841888973,0.8774823711545825,0.049406950926133786,0.04744881082252173,0.04744881082252173,0.04599627577589851,0.04599627577589851,0.6221601604716563,0.9050941237431551
73,1.113465840279634,0.0838044540447484,0.1120368790261787,0.09220350845754247,0.8980852121049556,0.1095900710335696,0.13292223619856583,1.0240966969507055,1.0240966969507055,0.13066070343358246,0.4650797425041418,0.13066070343358246,1.0747042974595669
74,3.029630804502587e-05,0.0003737067864152164,0.004164818179921284,0.0001716910973798064,0.9929721697675147,0.9979715527272788,0.0019124687195761826,0.0019124687195761826,0.0019124687195761826,0.0014434168696688449,0.0014434168696688449,0.0014434168696688449,0.008680800404038706
75,0.5893411824093608,0.07211309687452958,0.1159565062057253,0.13173340142615192,1.3739605542346827,0.6634678414162666,0.5832626008520638,0.6063263063672568,0.6063263063672568,0.6828869316934242,0.9409550846338686,0.5748271858359713,0.5748271858359713
76,0.3872957361536129,1.1728762058421756,1.2467733892873498,1.221492270429858,0.13178247211133415,0.2988923741982943,0.32447758789896636,0.01928162325064441,1.0192816232506443,0.3674872550734327,1.2080090410662363,0.03436095358120645,0.24195637298957368
