T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
84.0,6.406853007629832e-16,0.5162763290922093,0.00013198434396268768,-0.0015830631481050976,-6.437744076238495e-05,-6.437744076238495e-05
85.0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06
86.0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06
87.0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06
88.0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06
89.0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06
90.0,0.0,0.013453326682677274,0.002225443147068983,6.672449134216533e-06,6.672449134216533e-06,6.672449134216533e-06
91.0,-1.361456264121341e-15,0.01910407723252648,-0.001961956011843221,-0.0007055348684429312,-0.0001354754250114783,-0.0001354754250114783
92.0,-1.361456264121341e-15,0.01910407723252648,-0.001961956011843221,-0.0007055348684429312,-0.0001354754250114783,-0.0001354754250114783
93.0,-1.361456264121341e-15,0.01910407723252648,-0.001961956011843221,-0.0007055348684429312,-0.0001354754250114783,-0.0001354754250114783
94.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
95.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
96.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
97.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
98.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
99.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
100.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
101.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
102.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
103.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
104.0,-0.002069302998180243,0.019961872346982826,-0.0013871450821530337,0.0006137737833048904,0.00044727795114667183,0.00044727795114667183
105.0,0.0001634489973568055,0.023112499989371833,-0.0010043533451288996,0.0007788749511412113,0.0009013569947491354,0.0009013569947491354
106.0,-0.0012713347216323837,0.022228441658493768,-0.00032612929327903656,0.0009598440885524737,0.0008617520833642418,0.0008617520833642418
107.0,-0.0012713347216323837,0.022228441658493768,-0.00032612929327903656,0.0009598440885524737,0.0008617520833642418,0.0008617520833642418
108.0,-0.0012713347216323837,0.022228441658493768,-0.00032612929327903656,0.0009598440885524737,0.0008617520833642418,0.0008617520833642418
109.0,-0.0012713347216323837,0.022228441658493768,-0.00032612929327903656,0.0009598440885524737,0.0008617520833642418,0.0008617520833642418
110.0,-0.000908096229737417,0.016512441802365538,-0.0007932331828018549,0.0006875037715034202,0.0005497175738927667,0.0005497175738927667
111.0,-0.0012713347216318394,0.01547578763030116,-0.00032574405118530864,0.0012447192274819608,0.0008237947734544648,0.0008237947734544648
112.0,-0.0012713347216318394,0.01547578763030116,-0.00032574405118530864,0.0012447192274819608,0.0008237947734544648,0.0008237947734544648
113.0,-0.0012713347216318394,0.01547578763030116,-0.00032574405118530864,0.0012447192274819608,0.0008237947734544648,0.0008237947734544648
114.0,-3.719115340529715e-05,0.01392536889390257,-0.0003477992582884708,0.0007428012626523174,0.0006265472909523378,0.0006265472909523378
115.0,-3.719115340529715e-05,0.01392536889390257,-0.0003477992582884708,0.0007428012626523174,0.0006265472909523378,0.0006265472909523378
116.0,-3.719115340529715e-05,0.01392536889390257,-0.0003477992582884708,0.0007428012626523174,0.0006265472909523378,0.0006265472909523378
117.0,-3.719115340529715e-05,0.01392536889390257,-0.0003477992582884708,0.0007428012626523174,0.0006265472909523378,0.0006265472909523378
118.0,-3.719115340529715e-05,0.01392536889390257,-0.0003477992582884708,0.0007428012626523174,0.0006265472909523378,0.0006265472909523378
119.0,-3.719115340529715e-05,0.01392536889390257,-0.0003477992582884708,0.0007428012626523174,0.0006265472909523378,0.0006265472909523378
120.0,0.0025640741214943016,0.019488205209553657,0.0008133517829517502,0.0015529338025196836,0.0014025097002083903,0.0014025097002083903
121.0,0.0025640741214943016,0.019488205209553657,0.0008133517829517502,0.0015529338025196836,0.0014025097002083903,0.0014025097002083903
122.0,0.0025640741214943016,0.019488205209553657,0.0008133517829517502,0.0015529338025196836,0.0014025097002083903,0.0014025097002083903
123.0,0.0025640741214943016,0.019488205209553657,0.0008133517829517502,0.0015529338025196836,0.0014025097002083903,0.0014025097002083903
124.0,0.0025640741214943016,0.019488205209553657,0.0008133517829517502,0.0015529338025196836,0.0014025097002083903,0.0014025097002083903
125.0,0.0017045479489995713,0.01687296966815662,0.0009472177663533997,0.0016086848720935853,0.0012302928151387631,0.0012302928151387631
126.0,0.003883302335646749,0.016418160001450396,0.0005873304794116459,0.0015899259305676011,0.001362032909467287,0.001362032909467287
127.0,0.003883302335646749,0.016418160001450396,0.0005873304794116459,0.0015899259305676011,0.001362032909467287,0.001362032909467287
128.0,0.003883302335646749,0.016418160001450396,0.0005873304794116459,0.0015899259305676011,0.001362032909467287,0.001362032909467287
129.0,0.003883302335646749,0.016418160001450396,0.0005873304794116459,0.0015899259305676011,0.001362032909467287,0.001362032909467287
130.0,0.003883302335646749,0.016418160001450396,0.0005873304794116459,0.0015899259305676011,0.001362032909467287,0.001362032909467287
131.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
132.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
133.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
134.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
135.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
136.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
137.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
138.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
139.0,0.007766604671293498,0.030613877840855827,0.0031356538654321925,0.0031731988822544157,0.002954434518720495,0.002954434518720495
140.0,0.0,0.0,0.0,0.0,0.0,0.0
141.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,0.0,0.0,0.0,0.0,0.0,0.0
143.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,0.0,0.0,0.0,0.0,0.0,0.0
146.0,0.0,0.0,0.0,0.0,0.0,0.0
147.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,0.0,0.0,0.0,0.0,0.0,0.0
152.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,0.0,0.0,0.0,0.0,0.0,0.0
155.0,0.0,0.0,0.0,0.0,0.0,0.0
156.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,0.0,0.0,0.0,0.0,0.0,0.0
