T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
51.0,0.5625,0.4791666666666667,0.4375,0.6458333333333334,0.2708333333333333,0.375,0.4166666666666667,0.4583333333333333,0.4791666666666667,0.3333333333333333,0.375,0.3125,0.25
52.0,0.6274509803921569,0.5098039215686274,0.47058823529411764,0.6666666666666666,0.27450980392156865,0.39215686274509803,0.43137254901960786,0.45098039215686275,0.47058823529411764,0.3137254901960784,0.37254901960784315,0.3137254901960784,0.27450980392156865
53.0,0.660377358490566,0.5471698113207547,0.49056603773584906,0.6981132075471698,0.2830188679245283,0.39622641509433965,0.4716981132075472,0.4716981132075472,0.49056603773584906,0.32075471698113206,0.3584905660377358,0.32075471698113206,0.3018867924528302
54.0,0.6721311475409836,0.5737704918032787,0.5081967213114754,0.7213114754098361,0.2786885245901639,0.39344262295081966,0.4918032786885246,0.4918032786885246,0.5081967213114754,0.3442622950819672,0.3442622950819672,0.32786885245901637,0.32786885245901637
55.0,0.6774193548387096,0.5806451612903226,0.5161290322580645,0.7096774193548387,0.2903225806451613,0.3548387096774194,0.5161290322580645,0.46774193548387094,0.5,0.3387096774193548,0.3548387096774194,0.3387096774193548,0.3387096774193548
56.0,0.7076923076923077,0.5846153846153846,0.5384615384615384,0.7230769230769231,0.3076923076923077,0.3384615384615385,0.5230769230769231,0.47692307692307695,0.5076923076923077,0.35384615384615387,0.36923076923076925,0.3384615384615385,0.38461538461538464
57.0,0.7076923076923077,0.5846153846153846,0.5384615384615384,0.7230769230769231,0.2923076923076923,0.3230769230769231,0.5384615384615384,0.49230769230769234,0.5230769230769231,0.35384615384615387,0.36923076923076925,0.3230769230769231,0.38461538461538464
58.0,0.6865671641791045,0.582089552238806,0.5373134328358209,0.7014925373134329,0.26865671641791045,0.2835820895522388,0.5373134328358209,0.47761194029850745,0.5074626865671642,0.31343283582089554,0.34328358208955223,0.2835820895522388,0.373134328358209
59.0,0.6818181818181818,0.5757575757575758,0.5454545454545454,0.6818181818181818,0.2727272727272727,0.24242424242424243,0.5151515151515151,0.4696969696969697,0.5,0.3181818181818182,0.3484848484848485,0.2878787878787879,0.36363636363636365
60.0,0.6764705882352942,0.5882352941176471,0.5441176470588235,0.6764705882352942,0.2647058823529412,0.23529411764705882,0.5,0.4852941176470588,0.5147058823529411,0.3235294117647059,0.35294117647058826,0.27941176470588236,0.36764705882352944
61.0,0.6756756756756757,0.6081081081081081,0.5540540540540541,0.6621621621621622,0.2702702702702703,0.24324324324324326,0.4864864864864865,0.5,0.527027027027027,0.35135135135135137,0.36486486486486486,0.2972972972972973,0.36486486486486486
62.0,0.68,0.6266666666666667,0.5733333333333334,0.6533333333333333,0.26666666666666666,0.26666666666666666,0.49333333333333335,0.5066666666666667,0.5333333333333333,0.37333333333333335,0.37333333333333335,0.30666666666666664,0.37333333333333335
63.0,0.68,0.64,0.6,0.6533333333333333,0.26666666666666666,0.28,0.4666666666666667,0.48,0.49333333333333335,0.37333333333333335,0.37333333333333335,0.30666666666666664,0.4
64.0,0.6753246753246753,0.6363636363636364,0.5974025974025974,0.6623376623376623,0.2597402597402597,0.2987012987012987,0.4675324675324675,0.4805194805194805,0.4805194805194805,0.38961038961038963,0.38961038961038963,0.3246753246753247,0.4155844155844156
65.0,0.6666666666666666,0.64,0.6,0.6533333333333333,0.26666666666666666,0.29333333333333333,0.4533333333333333,0.4666666666666667,0.4666666666666667,0.4,0.38666666666666666,0.32,0.41333333333333333
66.0,0.6666666666666666,0.6805555555555556,0.625,0.6666666666666666,0.2638888888888889,0.2916666666666667,0.4722222222222222,0.5,0.4861111111111111,0.4166666666666667,0.4166666666666667,0.3472222222222222,0.4583333333333333
67.0,0.684931506849315,0.6712328767123288,0.6438356164383562,0.684931506849315,0.2876712328767123,0.3287671232876712,0.4931506849315068,0.5342465753424658,0.5205479452054794,0.4383561643835616,0.3972602739726027,0.3698630136986301,0.4657534246575342
68.0,0.6944444444444444,0.6805555555555556,0.6527777777777778,0.6944444444444444,0.2916666666666667,0.3333333333333333,0.5,0.5416666666666666,0.5277777777777778,0.4444444444444444,0.4027777777777778,0.375,0.4722222222222222
69.0,0.7083333333333334,0.6944444444444444,0.6805555555555556,0.7222222222222222,0.2777777777777778,0.3333333333333333,0.5277777777777778,0.5555555555555556,0.5416666666666666,0.4861111111111111,0.4027777777777778,0.375,0.5
70.0,0.7222222222222222,0.7083333333333334,0.6944444444444444,0.7361111111111112,0.2777777777777778,0.3333333333333333,0.5416666666666666,0.5555555555555556,0.5416666666666666,0.4861111111111111,0.4027777777777778,0.3611111111111111,0.5138888888888888
71.0,0.7638888888888888,0.7638888888888888,0.75,0.7777777777777778,0.2361111111111111,0.3611111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5,0.4166666666666667,0.3888888888888889,0.5416666666666666
72.0,0.7205882352941176,0.7352941176470589,0.7205882352941176,0.7352941176470589,0.23529411764705882,0.3382352941176471,0.5441176470588235,0.5441176470588235,0.5441176470588235,0.5147058823529411,0.4117647058823529,0.38235294117647056,0.5147058823529411
73.0,0.7076923076923077,0.7230769230769231,0.7230769230769231,0.7230769230769231,0.23076923076923078,0.3384615384615385,0.5230769230769231,0.5384615384615384,0.5384615384615384,0.5230769230769231,0.4307692307692308,0.38461538461538464,0.5076923076923077
74.0,0.7068965517241379,0.7241379310344828,0.7413793103448276,0.7068965517241379,0.22413793103448276,0.3275862068965517,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5344827586206896,0.46551724137931033,0.39655172413793105,0.5172413793103449
75.0,0.7017543859649122,0.7017543859649122,0.7368421052631579,0.7017543859649122,0.19298245614035087,0.3508771929824561,0.5087719298245614,0.543859649122807,0.543859649122807,0.543859649122807,0.45614035087719296,0.40350877192982454,0.543859649122807
76.0,0.6981132075471698,0.7169811320754716,0.7358490566037735,0.6981132075471698,0.20754716981132076,0.39622641509433965,0.5283018867924528,0.5471698113207547,0.5471698113207547,0.5660377358490566,0.49056603773584906,0.4528301886792453,0.5471698113207547
77.0,0.7142857142857143,0.7142857142857143,0.7321428571428571,0.6964285714285714,0.21428571428571427,0.44642857142857145,0.5357142857142857,0.5535714285714286,0.5535714285714286,0.5892857142857143,0.5357142857142857,0.5,0.5714285714285714
78.0,0.7222222222222222,0.7407407407407407,0.7592592592592593,0.7222222222222222,0.24074074074074073,0.5185185185185185,0.5370370370370371,0.5740740740740741,0.5740740740740741,0.6296296296296297,0.5740740740740741,0.5370370370370371,0.6481481481481481
79.0,0.7358490566037735,0.7547169811320755,0.7547169811320755,0.7547169811320755,0.22641509433962265,0.5471698113207547,0.5660377358490566,0.5849056603773585,0.5849056603773585,0.6226415094339622,0.5849056603773585,0.5471698113207547,0.6792452830188679
80.0,0.7307692307692307,0.7307692307692307,0.75,0.75,0.23076923076923078,0.5576923076923077,0.5769230769230769,0.5576923076923077,0.5576923076923077,0.6153846153846154,0.5769230769230769,0.5576923076923077,0.6730769230769231
81.0,0.7291666666666666,0.7083333333333334,0.75,0.7708333333333334,0.20833333333333334,0.6041666666666666,0.6041666666666666,0.5416666666666666,0.5416666666666666,0.6041666666666666,0.5833333333333334,0.5625,0.7083333333333334
82.0,0.7391304347826086,0.6739130434782609,0.717391304347826,0.7608695652173914,0.1956521739130435,0.5869565217391305,0.5869565217391305,0.5217391304347826,0.5217391304347826,0.5869565217391305,0.5652173913043478,0.5434782608695652,0.6956521739130435
83.0,0.7446808510638298,0.7021276595744681,0.7446808510638298,0.7659574468085106,0.19148936170212766,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.5957446808510638,0.6170212765957447,0.5319148936170213,0.5957446808510638,0.6595744680851063
84.0,0.7446808510638298,0.7021276595744681,0.7446808510638298,0.7446808510638298,0.23404255319148937,0.5531914893617021,0.6382978723404256,0.574468085106383,0.6170212765957447,0.6170212765957447,0.5319148936170213,0.5957446808510638,0.6595744680851063
85.0,0.7291666666666666,0.7083333333333334,0.7291666666666666,0.7291666666666666,0.22916666666666666,0.5625,0.625,0.5625,0.6041666666666666,0.625,0.5208333333333334,0.6041666666666666,0.6458333333333334
86.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7346938775510204,0.2653061224489796,0.5714285714285714,0.6122448979591837,0.5510204081632653,0.5918367346938775,0.6122448979591837,0.5306122448979592,0.6122448979591837,0.6326530612244898
87.0,0.7111111111111111,0.6888888888888889,0.7111111111111111,0.7111111111111111,0.26666666666666666,0.5555555555555556,0.6222222222222222,0.5333333333333333,0.5777777777777777,0.6222222222222222,0.5555555555555556,0.6222222222222222,0.6666666666666666
88.0,0.6956521739130435,0.6739130434782609,0.6956521739130435,0.6956521739130435,0.2608695652173913,0.5434782608695652,0.6086956521739131,0.5434782608695652,0.5869565217391305,0.6086956521739131,0.5652173913043478,0.6086956521739131,0.6521739130434783
89.0,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.2727272727272727,0.5454545454545454,0.5681818181818182,0.5227272727272727,0.5681818181818182,0.5681818181818182,0.5909090909090909,0.6363636363636364,0.6136363636363636
90.0,0.6595744680851063,0.6382978723404256,0.6382978723404256,0.6382978723404256,0.2978723404255319,0.5531914893617021,0.574468085106383,0.574468085106383,0.6170212765957447,0.5957446808510638,0.5957446808510638,0.6808510638297872,0.6170212765957447
91.0,0.6046511627906976,0.627906976744186,0.5813953488372093,0.627906976744186,0.32558139534883723,0.5813953488372093,0.5581395348837209,0.5813953488372093,0.627906976744186,0.5813953488372093,0.6046511627906976,0.6976744186046512,0.627906976744186
92.0,0.6444444444444445,0.6888888888888889,0.6222222222222222,0.6666666666666666,0.37777777777777777,0.6222222222222222,0.5777777777777777,0.6444444444444445,0.6888888888888889,0.6,0.6,0.7333333333333333,0.6444444444444445
93.0,0.6444444444444445,0.6888888888888889,0.6222222222222222,0.6666666666666666,0.37777777777777777,0.6222222222222222,0.5777777777777777,0.6444444444444445,0.6888888888888889,0.6,0.6,0.7333333333333333,0.6444444444444445
94.0,0.6521739130434783,0.6956521739130435,0.6304347826086957,0.6739130434782609,0.41304347826086957,0.6521739130434783,0.5869565217391305,0.6739130434782609,0.717391304347826,0.6086956521739131,0.6086956521739131,0.7391304347826086,0.6521739130434783
95.0,0.6956521739130435,0.7391304347826086,0.6521739130434783,0.6956521739130435,0.45652173913043476,0.6739130434782609,0.6086956521739131,0.6956521739130435,0.7391304347826086,0.6521739130434783,0.6521739130434783,0.7608695652173914,0.6739130434782609
96.0,0.6818181818181818,0.7272727272727273,0.6363636363636364,0.6818181818181818,0.4318181818181818,0.6590909090909091,0.5909090909090909,0.6818181818181818,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.75,0.6590909090909091
97.0,0.65,0.725,0.625,0.675,0.45,0.625,0.575,0.675,0.725,0.625,0.6,0.725,0.625
