Item,davies2009/mirex_qm_tempotracker,sun2021/default,boeck2019/multi_task_hjdb,boeck2019/multi_task,boeck2020/dar,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
SMC_255.jams,False,False,False,False,False,False,False,False,False,False,False,False,False
SMC_256.jams,False,False,False,False,False,False,False,False,False,False,False,False,False
SMC_257.jams,False,True,False,False,False,False,False,False,False,False,False,False,False
SMC_258.jams,False,False,False,False,True,False,False,False,False,False,False,False,False
SMC_259.jams,False,False,True,True,True,True,True,True,True,True,True,True,False
SMC_260.jams,False,False,False,True,False,False,False,False,False,True,True,False,True
SMC_261.jams,False,False,False,True,False,False,True,False,False,False,False,False,False
SMC_262.jams,False,False,False,True,True,True,False,True,False,True,True,True,True
SMC_263.jams,True,False,True,True,True,False,False,True,True,True,True,True,True
SMC_264.jams,False,True,True,True,True,True,True,True,True,True,True,True,True
SMC_265.jams,False,False,False,False,False,False,False,False,True,False,False,False,False
SMC_266.jams,False,False,False,False,False,True,True,True,True,False,False,True,False
SMC_269.jams,False,True,False,False,True,True,True,False,True,True,True,True,True
SMC_271.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_272.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_273.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_274.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_275.jams,True,False,True,True,True,True,True,True,True,True,True,True,True
SMC_276.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_277.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_278.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_279.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_280.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_281.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_282.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_283.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_284.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_285.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_286.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_287.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_288.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
SMC_289.jams,True,True,True,True,True,True,True,True,True,True,True,True,True
