Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
0.012,0.8131799424784294,0.3573840190071277,0.7457796673752657,0.8441915718394398,0.8435663373765162,0.840565211954483,0.8675753407527823,0.8566962610979117
0.013,0.8246842565962236,0.39764911841940725,0.7585344504189071,0.8495685882205827,0.8490684006502438,0.8458171814430412,0.8752032012004501,0.8663248718269351
0.014,0.8373139927472802,0.4657996748780793,0.7646617481555583,0.8530699012129549,0.8533199949981243,0.8489433537576592,0.8809553582593472,0.8743278729523571
0.015,0.8460672752282106,0.5019382268350632,0.7715393272477179,0.8570714017756659,0.85744654245342,0.8529448543203701,0.8875828435663374,0.8792047017631612
0.016,0.8485682130799049,0.5253219957484057,0.7797924221583094,0.8606977616606227,0.8613229961235463,0.8561960735275729,0.8914592972364637,0.8832062023258722
0.017,0.8550706514943104,0.5622108290608978,0.7866700012504689,0.8646992622233337,0.8660747780417657,0.8604476678754533,0.896211079154683,0.8907090158809554
0.018,0.8584469175940977,0.5680880330123796,0.7887957984244092,0.8678254345379517,0.8687007627860448,0.862823558834563,0.8997123921470551,0.8942103288733275
0.019,0.8621983243716393,0.6058521945729649,0.7956733775165687,0.8712017006377392,0.8723271226710017,0.8663248718269351,0.9037138927097662,0.8987120170063774
0.02,0.867700387645367,0.634738026760035,0.799549831186695,0.8733274978116794,0.8752032012004501,0.8690759034637989,0.9049643616356133,0.9018381893209954
0.021,0.8713267475303239,0.6364886832562211,0.8030511441790672,0.8752032012004501,0.8773289983743904,0.8712017006377392,0.9090909090909091,0.9068400650243842
0.022,0.8737026384894335,0.664999374765537,0.8074277854195323,0.8777041390521445,0.8799549831186695,0.8737026384894335,0.9105914718019257,0.9078404401650619
0.023,0.8750781543078654,0.6737526572464674,0.8103038639489809,0.8799549831186695,0.8817056396148556,0.8758284356633738,0.9127172689758659,0.9090909090909091
0.024,0.8780792797298987,0.6805051894460422,0.8141803176191071,0.8815805927222709,0.8837063898962111,0.8775790921595599,0.9140927847942979,0.9103413780167563
0.025,0.8817056396148556,0.6892584719269726,0.8164311616856321,0.8822058271851945,0.8843316243591347,0.8782043266224834,0.9169688633237464,0.9138426910091284
0.026,0.8870826559959984,0.7790421408028011,0.8199324746780042,0.8843316243591347,0.8859572339627361,0.8799549831186695,0.91759409778667,0.9158434412904839
0.027,0.8884581718144304,0.7799174690508941,0.8218081780667751,0.8859572339627361,0.8870826559959984,0.8812054520445167,0.9182193322495936,0.9168438164311616
0.028,0.8905839689883707,0.7931724396648743,0.8229336001000375,0.8874577966737527,0.8885832187070152,0.8828310616481181,0.9200950356383644,0.9190946604976866
0.029,0.8913342503438789,0.7941728148055521,0.8244341628110542,0.8902088283106164,0.8903338752032012,0.8848318119294736,0.9213455045642116,0.920720270101288
0.03,0.8927097661623109,0.8015505814680505,0.8263098661998249,0.8918344379142178,0.8923346254845567,0.8864574215330749,0.9228460672752282,0.9219707390271352
0.031,0.8934600475178192,0.8099287232712267,0.828060522696011,0.8933350006252344,0.8937101413029886,0.8877078904589221,0.9237213955233212,0.9223458797048893
0.032,0.8940852819807428,0.8109290984119044,0.8294360385144429,0.8944604226584969,0.89533575090659,0.8893335000625234,0.9244716768788296,0.9250969113417532
0.033,0.8949606102288358,0.8128048018006753,0.8309366012254595,0.8954607977991746,0.8964611729398524,0.8904589220957859,0.9250969113417532,0.926097286482431
0.034,0.8968363136176066,0.8165562085782169,0.8326872577216456,0.8960860322620983,0.8969613605101914,0.8909591096661248,0.9280980367637864,0.9309741152932349
0.035,0.8973365011879455,0.8179317243966487,0.8346880080030011,0.8972114542953608,0.8982118294360385,0.8919594848068025,0.9307240215080655,0.9357258972114543
0.036,0.8975865949731149,0.8239339752407153,0.8369388520695261,0.8979617356508691,0.8988370638989621,0.8924596723771414,0.9325997248968363,0.9378516943853945
0.037,0.8975865949731149,0.8266850068775791,0.8376891334250344,0.9008378141803176,0.9010879079654871,0.8940852819807428,0.9334750531449294,0.9386019757409029
0.038,0.8980867825434538,0.8283106164811804,0.8385644616731274,0.9017131424284106,0.9023383768913342,0.8952107040140053,0.9362260847817931,0.9401025384519195
0.039,0.9017131424284106,0.8303113667625359,0.8396898837063899,0.9025884706765037,0.9030886582468426,0.8960860322620983,0.9369763661373015,0.9417281480555209
0.04,0.9019632362135801,0.8309366012254595,0.8404401650618982,0.9043391271726897,0.9040890333875203,0.8972114542953608,0.9378516943853945,0.9423533825184445
