T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
74.0,0.12759738500394407,0.8482997125051314,0.14587863754892288,0.33404490447714014,0.717960965940095,0.717960965940095,0.5623072008359792,0.43084065801487864,0.4136509258710905
75.0,0.0993169542998371,0.7400424110779703,0.08195865097414205,0.334312495531286,0.5555127350555545,0.5555127350555545,0.4808407218088054,0.3766739210685095,0.293975400284928
76.0,0.05581679942227602,0.6588438347889181,0.07041341242282881,0.2855759048052298,0.4743053130411949,0.4743053130411949,0.4691926272933005,0.38108532921411875,0.3105483556045934
77.0,-0.0035278472581633464,0.5433892029695091,0.05186459243260628,0.21449490457083817,0.3479320047755548,0.3479320047755548,0.4777651312625289,0.46400622025949173,0.3438580374175607
78.0,-0.0041075807103569395,0.5205061726328811,0.049113738974977034,0.2048315264525136,0.3325904521804338,0.3325904521804338,0.47836048476649434,0.4648362482148934,0.349800754004534
79.0,-0.003836837442803646,0.5186910358447828,0.04812526631525388,0.200560845964722,0.32565812740664385,0.32565812740664385,0.489396356881731,0.47598549304374976,0.3425132382961061
80.0,-0.004166021158143545,0.46906504071706634,0.04517898361455616,0.18878233576907888,0.30649616880300445,0.30649616880300445,0.4410004927514331,0.42837850325686255,0.3223654007492764
81.0,-0.02454831651379498,0.4459176238846731,0.02655255894592349,0.17610003661233375,0.2781937624122779,0.2781937624122779,0.43859234959843035,0.40504701359387735,0.29470684567781824
82.0,-0.06775114537035047,0.4320494777733222,0.020830191835033415,0.13315844186483974,0.22018015493611318,0.22018015493611318,0.42560963577560285,0.41150347992040975,0.25951150755936525
83.0,-0.04478648325023213,0.42373640251861194,0.020150157577251467,0.1305495799055291,0.21549935535641587,0.21549935535641587,0.43749885937503646,0.4030763854661374,0.25398998612193197
84.0,-0.04478648325023213,0.42373640251861194,0.020150157577251467,0.1305495799055291,0.21549935535641587,0.21549935535641587,0.43749885937503646,0.4030763854661374,0.25398998612193197
85.0,-0.04473805685226619,0.4110796116397491,-0.0012213481276393636,0.10928546722436018,0.19422250114297682,0.19422250114297682,0.43749885937503646,0.4030763854661374,0.2327133903772511
86.0,-0.04404490536004287,0.4024223541303545,-0.0015660162476071285,0.10668863932355666,0.18985615170220208,0.18985615170220208,0.42806957287992714,0.3943642338441302,0.22755046781959568
