τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.12,-0.005953396233635188,-0.004072202505059688,-0.004870814089086519,0.007811963233706075,-0.00759898693415575,0.0024617200644677056,-0.011872833611877107,0.00046222603029775843,0.008560187089628829,0.027633765332754533,-0.012146842091042434,-0.003850652244949136,-0.003850651965951868,0.0034405943959459166,0.0008918932939274656,-1.6445484609066484e-05,-0.012139520843334363
0.125,-0.005953396233635188,-0.004072202505059688,-0.004870814089086519,0.007811963233706075,-0.00759898693415575,0.0024617200644677056,-0.011872833611877107,0.00046222603029775843,0.008560187089628829,0.027633765332754533,-0.012146842091042434,-0.003850652244949136,-0.003850651965951868,0.0034405943959459166,0.0008918932939274656,-1.6445484609066484e-05,-0.012139520843334363
0.13,-0.00670692019923313,-0.005067655952040818,-0.005827625701602814,0.007632102689920625,-0.0071937834122743375,0.0021422807457697145,-0.008951841290914947,-0.0008942175007329675,0.009321599192279113,0.02584415515334453,-0.011365886387180177,-0.002197865345558417,-0.004155589414222935,0.0036634696752439948,0.0023003067177515984,-0.0008116419419340174,-0.011378505511893155
0.135,-0.00670692019923313,-0.005067655952040818,-0.005827625701602814,0.007632102689920625,-0.0071937834122743375,0.0021422807457697145,-0.008951841290914947,-0.0008942175007329675,0.009321599192279113,0.02584415515334453,-0.011365886387180177,-0.002197865345558417,-0.004155589414222935,0.0036634696752439948,0.0023003067177515984,-0.0008116419419340174,-0.011378505511893155
0.14,-0.006634027842940334,-0.004989557358796657,-0.005716278075379255,0.007800367312937791,-0.007619880990069582,0.002205342997134355,-0.008886355750904346,-0.0012244337906395484,0.009390982123271118,0.025992800015309177,-0.013146440698478269,-0.0021078920908269754,-0.004056425460599463,0.0035694235630770446,0.002411887034119339,-0.0007347115089369657,-0.011281694258491211
0.145,-0.006433870298547435,-0.004740688815621726,-0.005455828580719441,0.008593823411697189,-0.006578506883631382,0.0019204467303096133,-0.008567173000583158,-0.0017501556762967892,0.009895219530231295,0.023603207125252164,-0.012940115131559557,-0.0018881017415833775,-0.0038275298152354313,0.0018831835059795875,0.0026704835929461878,-0.001737198575639835,-0.011753877565805558
0.15,-0.006433870298547435,-0.004740688815621726,-0.005455828580719441,0.008593823411697189,-0.006578506883631382,0.0019204467303096133,-0.008567173000583158,-0.0017501556762967892,0.009895219530231295,0.023603207125252164,-0.012940115131559557,-0.0018881017415833775,-0.0038275298152354313,0.0018831835059795875,0.0026704835929461878,-0.001737198575639835,-0.011753877565805558
0.155,-0.006855321205733504,-0.00509939132338476,-0.00583977417954538,0.008383035806423186,-0.007006835849095772,0.003470834762984991,-0.00912567969851984,-0.0024252610981831523,0.009418623050275658,0.02285560811889557,-0.013272766565426081,-0.0022641189907315513,-0.004194526468692199,0.0015033378825874588,0.0022869761086844473,-0.0021002052126058283,-0.012121323453147537
0.16,-0.006855321205733504,-0.00509939132338476,-0.00583977417954538,0.008383035806423186,-0.007006835849095772,0.003470834762984991,-0.00912567969851984,-0.0024252610981831523,0.009418623050275658,0.02285560811889557,-0.013272766565426081,-0.0022641189907315513,-0.004194526468692199,0.0015033378825874588,0.0022869761086844473,-0.0021002052126058283,-0.012121323453147537
0.165,-0.006855321205733504,-0.00509939132338476,-0.00583977417954538,0.008383035806423186,-0.007006835849095772,0.003470834762984991,-0.00912567969851984,-0.0024252610981831523,0.009418623050275658,0.02285560811889557,-0.013272766565426081,-0.0022641189907315513,-0.004194526468692199,0.0015033378825874588,0.0022869761086844473,-0.0021002052126058283,-0.012121323453147537
