Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-C023_A.jams,0.028558544105999697,0.007195501404204403,0.007195501404204403,0.028569152196771547,0.00502983418608994,0.015424526471188051,0.015424526471188051,7.213294873622964e-05,-0.030025111469738082
RM-C023_B.jams,0.03425187618620814,0.01853922563522394,0.008343458529335287,0.01853922563522394,0.0045013922349411645,0.01554832639999457,0.01554832639999457,0.010184022301270829,-0.053516900001813396
RM-C023_C.jams,0.02167550845260099,0.03280614508325494,-0.0025269280290258185,-0.014499569695101824,0.004597388935390393,0.009249018356129183,0.009249018356129183,-0.014499569695101824,-0.012361325713384615
RM-C023_D.jams,0.01290139057030431,0.016258584863795122,0.07359175992974672,0.07359175992974672,0.00776069745124034,-0.01979107044895117,-0.01979107044895117,0.03562390973072622,-0.021762750021159624
RM-C023_E.jams,0.017045813348235718,0.01649631989619629,0.039216396396279725,-0.006587293216845029,-0.000445661220576317,-0.0024351708534850764,-0.0024351708534850764,0.0050006810583669145,-0.004265817972884256
RM-C024_A.jams,0.01290139057030431,0.016258584863795122,-0.02326977932284247,0.016258584863795122,-0.007560115790561266,-0.020973914852532947,-0.020973914852532947,-1.4427022539411907e-05,-0.0076263175289495045
RM-C024_B.jams,0.02458319561793747,0.027940389911427773,0.00831158316249541,0.00831158316249541,0.01431688408296988,0.0157308506182141,0.0157308506182141,0.011667378025093617,0.0060079546841664035
RM-C024_C.jams,0.031076718898604763,0.011972641666076894,0.011972641666076894,0.011972641666076894,0.01001068565423495,0.03329444573480979,0.03329444573480979,0.011972641666076894,-0.03205935258763826
RM-C025_A.jams,0.010054191898732998,0.01006368334469748,0.01006368334469748,0.0005409092261910627,-0.0005104436607611666,0.007785844821587529,0.007785844821587529,0.009114229515833046,0.024925409458358257
RM-C025_B.jams,0.026220622756553947,0.03068920407113884,0.03068920407113884,0.03068920407113884,0.01872413208140665,0.03377373922253945,0.03377373922253945,0.019155092852585168,0.04685355577596195
RM-C025_C.jams,0.03441294531832388,0.01077983875324308,0.01077983875324308,0.01077983875324308,-0.0003531428288738619,0.018130460316823305,0.018130460316823305,-0.007367507957016278,-0.022133444841837126
RM-C025_D.jams,0.0346700878832445,-0.0015066652274553865,0.029081654605967632,-0.011848609448914431,0.00983561777277122,-0.012819278070248732,-0.012819278070248732,-0.00635814670137897,-0.06239273443019189
RM-C026.jams,0.4017286011120706,-0.12428856676746809,0.43566992782379366,0.39473966376891145,0.45131321219593984,0.01099222537547484,0.01099222537547484,0.4342568072621699,-0.15280552111971044
RM-C027.jams,0.0376131440670459,0.0465298637024371,0.02416205067398254,0.0465298637024371,0.05576677189553341,-0.016574819904974513,-0.016574819904974513,0.020324793355043145,0.25113744451347136
RM-C028.jams,0.10656440603911631,0.021479727410467175,0.08236196955748977,0.021479727410467175,-0.3714851100944944,0.08008094756120793,0.08008094756120793,0.04185624261983046,0.26333737003525937
RM-C029.jams,-0.2536560818271915,0.33466361318745536,0.33466361318745536,0.39199678825340684,-0.263922393362159,0.2663357341164504,0.2663357341164504,0.3540289380543864,0.36372065325990427
RM-C030.jams,0.20198229615284133,0.00998408857262207,-0.19694521537602133,-0.19694521537602133,0.19276404528442143,0.11810692852049749,0.11810692852049749,0.08805205712166564,-0.37883091121557144
RM-C031.jams,0.04402349829160126,0.026052457200273948,0.08693469934729638,0.026052457200273948,0.03584440236641686,0.03129651368910274,0.03129651368910274,-0.009070949053329124,-0.06923410692331958
RM-C032.jams,-0.3629192022991175,-0.3990959554098177,-0.3685076355763946,-0.4094378996312766,-0.3926696862503847,-0.41122784762380515,-0.41122784762380515,-0.40394743688374113,-0.4177985726250911
RM-C033.jams,-0.045440362370874406,0.2630344058338106,0.011495638837846281,0.011495638837846281,0.08419437368169636,0.0656954971884787,0.0656954971884787,0.04065400690594357,-0.10880214188290302
