τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.065,-0.13023015996641019,-0.08872114716012888,-0.3144968745065876,-0.38171407201902835,-0.24752499676611947,-0.24104074307282206,-0.31056365355293636,-0.176333276849687,-0.3099559162724651,-0.29698970260820934,-0.3244067299417386,-0.0003574066124549275,-0.012578416576757519,-0.0364739959635653,-0.2625011728916277
0.07,-0.1283016200637187,-0.0878244197374833,-0.3149839113386938,-0.38030762794945666,-0.24619693539314727,-0.2401058203364052,-0.30971597436194775,-0.17686423132289097,-0.30911958625401087,-0.2961163752550878,-0.3234545046682328,0.0012243028553425995,-0.010813202773862567,-0.0356013940707048,-0.2621675625497091
0.075,-0.12812680073715876,-0.08619050088621306,-0.31497586158795315,-0.3796694932890855,-0.2447836673338718,-0.23978760517000677,-0.3093045644754002,-0.17662924045055184,-0.30866297518752744,-0.29423883671834833,-0.32297446881911807,0.0012439870397285004,-0.010776223322768038,-0.03552879940222975,-0.2617982316524375
0.08,-0.12812680073715876,-0.08619050088621306,-0.31497586158795315,-0.3796694932890855,-0.2447836673338718,-0.23978760517000677,-0.3093045644754002,-0.17662924045055184,-0.30866297518752744,-0.29423883671834833,-0.32297446881911807,0.0012439870397285004,-0.010776223322768038,-0.03552879940222975,-0.2617982316524375
0.085,-0.12812680073715876,-0.08619050088621306,-0.31497586158795315,-0.3796694932890855,-0.2447836673338718,-0.23978760517000677,-0.3093045644754002,-0.17662924045055184,-0.30866297518752744,-0.29423883671834833,-0.32297446881911807,0.0012439870397285004,-0.010776223322768038,-0.03552879940222975,-0.2617982316524375
0.09,-0.12812680073715876,-0.08619050088621306,-0.31497586158795315,-0.3796694932890855,-0.2447836673338718,-0.23978760517000677,-0.3093045644754002,-0.17662924045055184,-0.30866297518752744,-0.29423883671834833,-0.32297446881911807,0.0012439870397285004,-0.010776223322768038,-0.03552879940222975,-0.2617982316524375
0.095,-0.12812680073715876,-0.08619050088621306,-0.31497586158795315,-0.3796694932890855,-0.2447836673338718,-0.23978760517000677,-0.3093045644754002,-0.17662924045055184,-0.30866297518752744,-0.29423883671834833,-0.32297446881911807,0.0012439870397285004,-0.010776223322768038,-0.03552879940222975,-0.2617982316524375
0.1,-0.12812680073715876,-0.08619050088621306,-0.31497586158795315,-0.3796694932890855,-0.2447836673338718,-0.23978760517000677,-0.3093045644754002,-0.17662924045055184,-0.30866297518752744,-0.29423883671834833,-0.32297446881911807,0.0012439870397285004,-0.010776223322768038,-0.03552879940222975,-0.2617982316524375
0.105,-0.12792738139483106,-0.08457715368632847,-0.31450132701164707,-0.379073004667084,-0.24401039955838746,-0.2394160171314823,-0.3087885150341763,-0.17636116386343223,-0.3081962243602638,-0.2937927804943403,-0.32392190525637565,0.001245266461942161,-0.01068506401040737,-0.035402127068234264,-0.2614097271373497
0.11,-0.12792738139483106,-0.08457715368632847,-0.31450132701164707,-0.379073004667084,-0.24401039955838746,-0.2394160171314823,-0.3087885150341763,-0.17636116386343223,-0.3081962243602638,-0.2937927804943403,-0.32392190525637565,0.001245266461942161,-0.01068506401040737,-0.035402127068234264,-0.2614097271373497
0.115,-0.12792738139483106,-0.08457715368632847,-0.31450132701164707,-0.379073004667084,-0.24401039955838746,-0.2394160171314823,-0.3087885150341763,-0.17636116386343223,-0.3081962243602638,-0.2937927804943403,-0.32392190525637565,0.001245266461942161,-0.01068506401040737,-0.035402127068234264,-0.2614097271373497
