Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
29,0.009241746662822488,0.015580825017064592,0.0010132478771492292,0.007554822296527306,0.98363407291822,0.9999358014990859,1.0022349229381424,1.0022349229381424,0.002234922938142329,0.001502025165232763,0.001502025165232763,0.007835839414103601
30,2.8853612282486908e-05,0.461497127865976,0.0045661098132139056,0.0020471738084074285,0.9929736124632772,1.0029573800006522,7.849917276453741e-05,0.0004767740675929376,0.0004767740675929376,0.0014419741739060017,0.0014419741739060017,0.0014419741739060017
31,0.00925459695456624,0.017339176904499484,0.003523084157539437,0.005448635187586057,0.03486042823677015,0.002439997398317033,0.9989035191501183,0.9989035191501183,0.9989035191501183,0.0012618062010358137,0.0012618062010358137,0.0012618062010358137
32,0.009241746662822488,0.031067537330545243,0.00010519267829563913,0.005682772412246596,0.5831021732201832,0.9999358014990859,0.0010727828103382414,0.0010727828103382414,0.9989272358106212,0.001502025165232763,0.001502025165232763,0.1848092385282922
33,0.019152104448157226,0.01377111977260071,0.0014434168696687186,0.012588172559988854,0.5715091740384788,1.003354556220504,1.0014159784861723,1.001060229327597,0.0010602293275969608,0.0,0.0,0.0
34,0.019152104448157226,0.005691824872024239,0.0002704799634624638,0.01377111977260071,0.9865466733173227,1.003354556220504,0.00212792068343112,0.0024840235740764267,0.0024840235740764267,0.0,0.0,0.0
35,0.009241746662822488,0.0020603797000570646,0.0006640879748859374,0.005495700959586953,0.01636408461938125,0.9999358014990859,0.0018670149864217697,0.0014991075616674289,0.0014991075616674289,0.001502025165232763,0.001502025165232763,0.007835839414103601
36,0.00941704774861464,1.010733808498916,0.0014455773038758088,0.0063854121635707,0.5726837361475096,1.0023706354998059,0.00014987674904210123,1.0001498767490422,0.00014987674904210123,0.0012618062010364538,0.0012618062010364538,0.0012618062010364538
37,3.606692518969599e-05,0.022265813586436492,0.0001514909327041264,0.007579597949605163,0.573824359632171,1.001425654067102,1.0021850574009437,1.0021850574009437,0.0021849634836327496,0.007956723828340945,0.007956723828340945,0.007956723828340945
38,0.008584276692423846,0.012933250279673415,0.00565863279719889,0.008281348598736105,0.03905367842626956,1.0015867427679834,0.0035244389471127823,0.00312769730149853,0.00312769730149853,0.002882508533122644,0.007171156130800229,0.002882508533122644
39,0.008838277409551133,0.5493887343114258,0.002161220704920873,0.00264074392288394,0.567076927723219,0.0040775401832927926,0.9978143204111194,0.002571096845668677,0.002571096845668677,0.0023462863158020602,0.0023462863158020602,0.0023462863158020602
40,0.01934608880481197,0.0057823525940059505,0.0044115018931010705,0.007322193625143677,0.9865466733173227,0.997774556852931,0.00284795254943391,0.00284795254943391,0.00284795254943391,0.0,0.008988783227254759,0.008988783227254759
41,0.009241746662822488,0.009669646285307672,0.0018742855313514729,0.004467241342475077,0.98363407291822,0.9999358014990859,0.0003962274808330234,2.8788064516148493e-05,2.8788064516148493e-05,1.0078358394141036,0.001502025165232763,0.001502025165232763
42,0.017921907997263262,0.00011541098689394746,0.0008941937539233057,0.009164915483958877,0.0370212394990033,0.9996372799330374,0.0016866484620297723,0.0013022736106710917,0.0013022736106710917,0.001443416869667917,0.001443416869667917,0.001443416869667917
43,0.008462735026301823,0.0030960973102003896,0.0036112535523781936,0.001860472333472123,0.032565499558321845,0.0020869243698360437,0.004722247253347882,0.004315872972716897,0.004315872972716897,0.0036112535523781936,0.0036112535523781936,0.0036112535523781936
44,1.5850707069070051,0.0029364663366671807,0.001691348731643695,0.001917653836560942,0.017293159687458114,0.0006281899870766737,0.000780377218577512,0.0003347152207044847,0.0003347152207044847,0.003842066294394683,0.003842066294394683,0.003842066294394683
45,0.009241746662823295,0.9724861454869562,0.0027115203208145228,0.0040000019560398675,0.016364084619380298,0.9999358014990865,0.998193086475774,0.0018069135242260485,0.0018069135242260485,0.001502025165231803,0.001502025165231803,0.9892201612467573
46,0.00448739099231433,0.0047759011504381246,0.001488106396262119,0.005646986141398835,0.023586722494054305,0.0026958475561591447,0.000206398356436331,0.000206398356436331,0.000206398356436331,0.00448739099231433,0.00448739099231433,0.00448739099231433
47,0.009241746662823295,0.023027602634986943,0.0017812294445709185,0.0028792444392838792,0.983634072918221,0.9945234777884536,0.0029072701460604636,0.997459422152233,0.997459422152233,0.001502025165231803,0.001502025165231803,0.010779838753242763
48,0.009241746662822488,0.05177918700170054,0.001036564589848463,0.005121630810116264,0.01636408461938125,0.9999358014990859,0.0011313871816845881,0.0011313871816845881,0.0011313871816845881,0.001502025165232763,0.001502025165232763,0.007835839414103601
49,0.009241746662826034,0.010502370718748903,0.003269407041178051,0.0016660721739005751,0.016364084619377765,0.005480235048091319,0.00217360625540655,0.002907270146057906,0.002907270146057906,0.001502025165229243,0.010779838753239901,0.010779838753239901
50,0.009241746662822488,0.022997955637918906,0.002132556169583093,0.005776317235809261,0.98363407291822,0.9999358014990859,0.002234922938142329,0.002234922938142329,0.002234922938142329,0.001502025165232763,0.001502025165232763,0.007835839414103601
51,5.289978800405142e-05,0.008878859417461958,0.006017896610989088,0.007482914883684988,0.022794373381558215,0.004419891895317651,0.002989885970338489,0.002554601305461325,0.002554601305461325,0.0062381722112170085,0.0062381722112170085,0.0062381722112170085
52,0.007658381518890444,0.0006346462060631516,0.001524651985593375,0.002890086308724235,0.02494673223089317,0.0018545135493356734,0.0007257896117056148,0.0002777743886921945,0.0002777743886921945,0.00018032560999582068,0.00018032560999582068,0.00018032560999582068
53,0.009045139603003892,0.010970016527495926,0.01048855647267263,0.007987550974803819,0.010054191898736178,1.0057691351924527,0.004636754008868397,1.0042587241533751,0.004258820014482253,0.0005409092261942649,0.0005409092261942649,0.0005409092261942649
54,0.016155733190149235,0.0013747140959952811,0.002977293267214856,0.0013002135084688997,0.012438878742722008,0.002977293267214856,0.9985860762604079,0.0014139451186052975,0.0014139451186052975,0.0018022426339850638,0.0018022426339850638,0.0018022426339850638
