Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0185,0.8321167883211679,0.9781021897810219,0.9781021897810219,0.48613138686131385,0.5547445255474452,0.6072992700729927,0.6335766423357664,0.5912408759124088,0.6335766423357664,0.5094890510948905,0.6554744525547446,0.8525547445255475,0.9051094890510949,0.9445255474452555,0.9065693430656935,0.9255474452554745,0.656934306569343
0.019,0.8335766423357664,0.9781021897810219,0.9781021897810219,0.5576642335766423,0.5547445255474452,0.6072992700729927,0.6335766423357664,0.5927007299270073,0.6335766423357664,0.5167883211678832,0.6554744525547446,0.8540145985401459,0.9051094890510949,0.945985401459854,0.9094890510948905,0.9255474452554745,0.6583941605839416
0.0195,0.8364963503649635,0.9781021897810219,0.9781021897810219,0.5620437956204379,0.5562043795620438,0.6087591240875913,0.6335766423357664,0.5970802919708029,0.6364963503649635,0.5167883211678832,0.6554744525547446,0.8540145985401459,0.9051094890510949,0.945985401459854,0.910948905109489,0.9255474452554745,0.6583941605839416
0.02,0.8379562043795621,0.9781021897810219,0.9781021897810219,0.5708029197080292,0.5576642335766423,0.6102189781021898,0.635036496350365,0.5970802919708029,0.6364963503649635,0.5182481751824818,0.6583941605839416,0.8554744525547445,0.9065693430656935,0.9474452554744526,0.9124087591240876,0.9284671532846716,0.6583941605839416
0.0205,0.8379562043795621,0.9781021897810219,0.9781021897810219,0.5722627737226277,0.5605839416058395,0.6102189781021898,0.635036496350365,0.5985401459854015,0.637956204379562,0.5211678832116788,0.6583941605839416,0.8554744525547445,0.9065693430656935,0.9503649635036496,0.9124087591240876,0.92992700729927,0.6598540145985401
0.021,0.8379562043795621,0.9795620437956204,0.9781021897810219,0.5737226277372263,0.5605839416058395,0.6116788321167883,0.635036496350365,0.602919708029197,0.6394160583941606,0.5226277372262774,0.6583941605839416,0.8569343065693431,0.908029197080292,0.9547445255474453,0.9153284671532846,0.9328467153284672,0.6598540145985401
0.0215,0.8379562043795621,0.981021897810219,0.9781021897810219,0.5795620437956205,0.5620437956204379,0.6160583941605839,0.635036496350365,0.6072992700729927,0.6394160583941606,0.527007299270073,0.6583941605839416,0.8569343065693431,0.908029197080292,0.9547445255474453,0.9167883211678832,0.9328467153284672,0.6598540145985401
0.022,0.8379562043795621,0.9824817518248176,0.9781021897810219,0.5824817518248175,0.5620437956204379,0.6175182481751825,0.635036496350365,0.6131386861313869,0.6394160583941606,0.527007299270073,0.6583941605839416,0.8569343065693431,0.908029197080292,0.9576642335766423,0.9182481751824818,0.9328467153284672,0.6598540145985401
0.0225,0.8394160583941606,0.983941605839416,0.9781021897810219,0.583941605839416,0.5620437956204379,0.618978102189781,0.6364963503649635,0.618978102189781,0.6394160583941606,0.527007299270073,0.6583941605839416,0.8569343065693431,0.908029197080292,0.9605839416058394,0.9211678832116789,0.9343065693430657,0.6598540145985401
0.023,0.8394160583941606,0.983941605839416,0.9781021897810219,0.5912408759124088,0.5620437956204379,0.618978102189781,0.6364963503649635,0.6204379562043796,0.6394160583941606,0.527007299270073,0.6583941605839416,0.8569343065693431,0.908029197080292,0.9605839416058394,0.9211678832116789,0.9357664233576642,0.6598540145985401
