τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.175,0.003790700724389057,0.052073275488325216,0.009286490329132712,-0.007449886924533255,-0.008402857614818755,-0.0017555562763247425
0.18,0.003790700724389057,0.052073275488325216,0.009286490329132712,-0.007449886924533255,-0.008402857614818755,-0.0017555562763247425
0.185,0.003790700724389057,0.052073275488325216,0.009286490329132712,-0.007449886924533255,-0.008402857614818755,-0.0017555562763247425
0.19,0.003790700724389057,0.052073275488325216,0.009286490329132712,-0.007449886924533255,-0.008402857614818755,-0.0017555562763247425
0.195,0.005579527432808478,0.048299952097556914,0.010327102380253294,-0.005932919160725652,-0.007614933017194747,-0.0010423204577849374
0.2,0.005579527432808478,0.048299952097556914,0.010327102380253294,-0.005932919160725652,-0.007614933017194747,-0.0010423204577849374
0.205,0.006100824611404206,0.047841364380064616,0.011060022834796424,-0.0064929391921484635,-0.00671791758392842,-0.00021833405295649549
0.21,0.006100824611404206,0.047841364380064616,0.011060022834796424,-0.0064929391921484635,-0.00671791758392842,-0.00021833405295649549
0.215,0.006100824611404206,0.047841364380064616,0.011060022834796424,-0.0064929391921484635,-0.00671791758392842,-0.00021833405295649549
0.22,0.0059476425769777385,0.04716473946771732,0.011163587661503037,-0.00405799044794082,-0.006997545273182932,-0.0005693857370568522
0.225,0.006151321450611079,0.05001866274448728,0.008178554875122814,-0.004465527115779427,-0.007310679995860224,-0.0009523917590398626
0.23,0.006151321450611079,0.05001866274448728,0.008178554875122814,-0.004465527115779427,-0.007310679995860224,-0.0009523917590398626
0.235,0.006151321450611079,0.05001866274448728,0.008178554875122814,-0.004465527115779427,-0.007310679995860224,-0.0009523917590398626
0.24,0.006509361153047789,0.04463466409380563,0.009259758414192076,0.0001136841349280809,-0.003995464911180696,0.0022944546349211677
0.245,0.006509361153047789,0.04463466409380563,0.009259758414192076,0.0001136841349280809,-0.003995464911180696,0.0022944546349211677
0.25,0.006509361153047789,0.04463466409380563,0.009259758414192076,0.0001136841349280809,-0.003995464911180696,0.0022944546349211677
0.255,0.006509361153047789,0.04463466409380563,0.009259758414192076,0.0001136841349280809,-0.003995464911180696,0.0022944546349211677
0.26,0.0067297385824185655,0.04456379971543685,0.009159552975102115,0.0025719762637180124,-0.004059460058261591,0.0021635454501157847
0.265,0.010066944440128935,0.04643039480289677,0.01481632460354059,-0.0008242485293241194,0.0015320756293801163,0.007625436145402828
0.27,0.010066944440128935,0.04643039480289677,0.01481632460354059,-0.0008242485293241194,0.0015320756293801163,0.007625436145402828
0.275,0.010798243111083445,0.047875716772311075,0.016663387633577772,0.0019091608468547615,-0.0006561588485418565,0.005312847171998977
0.28,0.010798243111083445,0.047875716772311075,0.016663387633577772,0.0019091608468547615,-0.0006561588485418565,0.005312847171998977
0.285,0.010688635607052235,0.047622369869374154,0.01644775896461368,-0.0026899065724943893,0.00018868902612437002,0.006097402056558731
0.29,0.010688635607052235,0.047622369869374154,0.01644775896461368,-0.0026899065724943893,0.00018868902612437002,0.006097402056558731
0.295,0.010688635607052235,0.047622369869374154,0.01644775896461368,-0.0026899065724943893,0.00018868902612437002,0.006097402056558731
0.3,0.007643547531040371,0.04588374585405743,0.012556514667557321,2.692889737502681e-05,-0.0010272405117049551,0.010672010395636628
0.305,0.007643547531040371,0.04588374585405743,0.012556514667557321,2.692889737502681e-05,-0.0010272405117049551,0.010672010395636628
0.31,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.315,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.32,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.325,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.33,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.335,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.34,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.345,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.35,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.355,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.36,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.365,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.37,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
0.375,0.008036176194786769,0.04395718359558884,0.013602864660085107,0.0005652634627609373,0.00026541408883543803,0.011848830828777596
