T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
54.0,0.5874440371660472,0.23556817193888022,0.28053558957996466,0.1014198715374095,1.2527369049851034,0.6822045198171376,0.6382128106574524,0.6140433439605782,0.3161757243761675,0.677777222491287,0.6000025214966087,0.7470935393939024,0.4579604920269361
55.0,0.566068114892698,0.2008883508036155,0.2527051019070862,0.08012291852893388,1.2325271791421673,0.649478615992636,0.5885649680916946,0.5936439261663191,0.2938864700651533,0.6544010102734154,0.57228139793105,0.7226428675983094,0.4180241257351796
56.0,0.5317970621632053,0.1887941456419084,0.2418351589918827,0.07723160774067801,1.1957148427208972,0.6024001770075305,0.5456081065324885,0.5329325609433198,0.262394679336233,0.6032559273876016,0.5461496149053746,0.6887053140508554,0.38175263236714235
57.0,0.5158178931581594,0.17405281595553987,0.22697412883796583,0.062042546471821926,1.2006976786000483,0.5935440666363712,0.544018437840773,0.5160021645627045,0.260848897891329,0.5963081798175969,0.5389831925781438,0.6801747026527294,0.40637994245934433
58.0,0.5268212429207231,0.17563209784159023,0.21571528421895697,0.09338346691750601,1.164615198161979,0.5778414299969484,0.5013023437432568,0.5026347415990937,0.24017261712443802,0.5900050791590663,0.5451513917683546,0.6466455315813017,0.38278185631905676
59.0,0.5212885682505101,0.14220239837643214,0.18276179198551498,0.09493868045201027,1.1549253120864806,0.5441458939936115,0.47262552748779196,0.49411217328553086,0.273127894952698,0.6036839894809471,0.55831565712258,0.6478999397307648,0.3764422807522729
60.0,0.524010407262866,0.13778200964991574,0.17839212928724796,0.09252743747454015,1.15489670843086,0.5353476349672963,0.47121870557802575,0.4936108314912049,0.27912609233345087,0.6064849373111211,0.5464312631626319,0.6422798372037933,0.3699071037443926
61.0,0.5102860456119642,0.11200147388845576,0.16014992738059752,0.08700941553853983,1.1147967936486118,0.5341544858746528,0.45297114723089515,0.47077514248054875,0.26016754433558553,0.5678132391118526,0.5272909772113854,0.6012814980377389,0.35017283340647687
62.0,0.516341660248975,0.09013929327369401,0.15185240990964907,0.08667689583758195,1.1006583908241485,0.5395873493301933,0.4263790721489737,0.4614636040592007,0.266997440939414,0.5679823030770996,0.5284534537548077,0.603633256864541,0.3528114249068253
63.0,0.5071680204522226,0.06631086438069991,0.1209332012343713,0.0766680246638046,1.095473714641493,0.503805603198465,0.39296903562417074,0.44441994517678285,0.2844199468063686,0.5666921243253809,0.5096727371700178,0.591822524765055,0.370117039970179
64.0,0.5075704295656194,0.06669898747040823,0.11880116369251102,0.07536162153361647,1.09625859445087,0.49584185878294496,0.38430721739875146,0.4348585033735827,0.2736242505871623,0.5663837691611954,0.4904959986837948,0.5840241827801267,0.35904107506560684
65.0,0.5077271847420247,0.06724199710816993,0.12021624083993224,0.0771218082401215,1.0741914069434724,0.4980253361720373,0.38054341655693585,0.41979775800638797,0.2809305918123297,0.571616197803784,0.4888579907984691,0.5774091713215815,0.3546101260032824
66.0,0.4900368324349583,0.055175888089273206,0.11052636187266353,0.06046531684197397,1.061795044289328,0.49422681923793466,0.34445215677885366,0.4097369337788059,0.2928614132621359,0.5314543079780301,0.44359134742194234,0.5472723037426862,0.3427089587511463
67.0,0.4451988968692548,0.053083609497107914,0.10688916656037352,0.04371095769538575,1.0305251824033526,0.46078480588795023,0.3045350198374291,0.39101024793295164,0.2757357605759068,0.5117111410071167,0.41947216107806634,0.5127630419245903,0.35529831669755574
68.0,0.42763065421844804,0.05144843054456975,0.1059175974103153,0.03317021295982053,1.0206733401202908,0.45634429353057804,0.2967826170341992,0.3841728534397953,0.2672973315361248,0.5089022063819135,0.4169327594514724,0.5099687170343521,0.35257075158053763
69.0,0.3991776132033563,0.030434951441546985,0.08576012051667051,0.04179877486951436,0.9917720138771825,0.4289647161969376,0.27803380155472573,0.36538372306352246,0.24850820115985192,0.48633497376477447,0.3805491216278046,0.49151877590610205,0.3663143332970591
70.0,0.39452886286624356,0.01870410871719845,0.07417193024153705,0.03804153172136992,0.9897224420899001,0.41269500734641185,0.26636165197511513,0.35396732045675977,0.23709179855308923,0.4748677366287057,0.3812900039228279,0.47934839886628366,0.36137736079253613
71.0,0.3838202588930174,-0.02038627766204671,0.0463158142756169,0.02224840271922436,0.9667841260578098,0.3806675757267636,0.23892107950837113,0.3310758498835949,0.19218695927989957,0.426958123000716,0.36912901205305304,0.4384577876686104,0.314459980699211
72.0,0.37828935679001546,-0.03505500573076573,0.012259855217230718,0.02336900148522792,0.9467469297281323,0.3562483985133203,0.2342124163880041,0.2800986053166432,0.14774566268250644,0.3903521283578162,0.3473487493432152,0.4206056828236989,0.34168955116684124
73.0,0.39496872523367954,-0.037525639597252775,0.0044581566901056,0.024016707906190662,0.9352134905370215,0.3404996571197767,0.19860753199936199,0.2865567319974233,0.15709461382594767,0.3761523825527651,0.3478623814472612,0.4096640303164789,0.3336662658531677
74.0,0.36512441084701025,-0.04666783513711476,0.0009541434681606352,0.024164824168599375,0.9194302395874514,0.31714841242431274,0.18441363488951348,0.21884738416101912,0.12548466861259924,0.36755752496646693,0.33756685889857124,0.3650734765742962,0.3230100157970643
75.0,0.3299589740575169,-0.0691239583197053,-0.009874738249926464,0.02045982333468034,0.9032029172395479,0.303360134502801,0.1597443330299539,0.19093192956462393,0.1032126304797675,0.35136502963599026,0.2972885401874484,0.3331916358440232,0.3231468955718286
76.0,0.30753881723333143,-0.08216990454710493,-0.0029792519504221343,0.010343076010706964,0.8503164407419883,0.27510264824418024,0.15266341752886095,0.1846192236622068,0.10914752574139136,0.34547998395814783,0.25031914430214,0.3076949645125202,0.3136871396628556
77.0,0.27507585331663975,-0.08348397545594818,-0.00820505111132726,0.004427510636869465,0.8208146025611486,0.25482829245202515,0.13380338631199598,0.18734408326111338,0.11591551201462735,0.3177926339327408,0.22681214869807112,0.28326250304398076,0.26616486533896455
78.0,0.19885619176939662,-0.12847661042824596,-0.031446218509382506,-0.035444826053418935,0.8050592645473434,0.209403226666072,0.1315968447891069,0.11099665514992395,0.07395961870030208,0.28057666253037605,0.1760242369792866,0.24328201615102435,0.2354171715050718
79.0,0.19016101634998023,-0.12279050496282078,-0.02746086663811157,-0.040036954464147574,0.7591936499135277,0.17798189290080435,0.10675542283392832,0.0988202069009433,0.06108435844283796,0.24079404472950405,0.14246286017441775,0.21293093429928045,0.21153858234181105
80.0,0.1485358417077969,-0.116047453158351,-0.02044068509474348,-0.05104442622120757,0.7434084972211805,0.18658021827543608,0.10109888619369722,0.09144648370570621,0.05298494379187408,0.216891484160932,0.12828302835045532,0.2079299550355517,0.20802226108203392
81.0,0.11869800979193566,-0.10240988672897634,-0.03530868402299427,-0.05610907037075221,0.7436746391238822,0.13687513605677362,0.0906297599219183,0.07445823484441809,0.05362489993776662,0.2210328386554392,0.10207338181281499,0.20946217836767667,0.20609494188105937
82.0,0.12328577180181963,-0.0831326056172819,-0.03514892921259667,-0.05730294160808067,0.737541719119772,0.09662980142521606,0.10002158440323065,0.060374762440168504,0.03863563036366262,0.21355644452640218,0.08986970918104893,0.19141485601338126,0.19159820281122816
83.0,0.11975446652728011,-0.08352249410967978,-0.03687119879500677,-0.06712887710953447,0.6989527643730589,0.060863563040800324,0.032350945445141485,-0.006174468714753166,-0.0025590447800487993,0.13464880288947798,0.08363182176577086,0.1346429364839961,0.10189228698966153
84.0,0.10744591106490162,-0.07539965445539545,-0.04860820655394641,-0.07808451268266067,0.6379251127821144,0.020958947169737216,0.00026084364730241894,-0.016015512910392077,-0.012400088975687725,0.1067054485610154,0.07131317033005678,0.09980117624359577,0.08580026102459135
85.0,0.10736783279156394,-0.09574118030079011,-0.0456963877530221,-0.07425307150186698,0.6285117369057721,0.02156286516294557,0.0035355592316440795,-0.010111019321435788,-0.006570916718704435,0.1042793559148784,0.0717832216277764,0.09846317240635276,0.07178242378176065
86.0,0.10565572065340641,-0.11343716797425292,-0.06393215604044393,-0.09268010887095379,0.5956314670276602,0.013533546179108617,0.004214254923286382,-0.0204236175654371,-0.028893769602868977,0.09792843386023171,0.07046900683213896,0.09474441690537216,0.0669721750803074
87.0,0.11268415221176373,-0.13634449569307422,-0.08265552130799231,-0.07682953058109179,0.5736394393815121,0.010258674015689357,0.004792188055502528,-0.0432844098596218,-0.030285239858957928,0.07907250108841102,0.07193281645070755,0.09351987122889507,0.016281994204368287
88.0,0.11327373998593707,-0.15319474199743355,-0.07917432896872745,-0.07294460952668654,0.5678117306264658,0.00520167065092555,0.008845946282023209,-0.041125749144758576,-0.050148300231065646,0.07492537922145638,0.0693047258877891,0.0853646543275318,0.011336064366394701
