Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
16,0.011587974275211825,0.21126010974085224,0.0018076653428610822,0.0001825746903427758,0.0007938843176082958,0.0007938843176082958
17,0.011466785225546831,0.004470256281471457,0.030940094773480684,0.01956044916246611,0.02136335996352404,0.02136335996352404
18,0.0,0.019104077232527907,0.0019619560118419375,0.00013547542501019682,0.00013547542501019682,0.00013547542501019682
19,0.023269779322847295,0.035314911612716195,0.009166532005253785,0.0034307048053866225,0.0034307048053866225,0.0034307048053866225
20,0.0,0.03617507814770278,0.0022224421620449684,0.001191414467227104,0.0007174421392058368,0.0007174421392058368
21,0.0,0.01909933150174009,0.001961474459144891,0.00013542733066026794,0.00013542733066026794,0.00013542733066026794
22,0.03895726091954327,0.021363042701795433,0.0025063883196614224,0.029401026004321863,0.02940113588475143,0.029401026004321863
23,0.007649883168444964,0.020235488401988754,0.005579639699847006,0.003114308874628841,0.003114308874628841,0.003114308874628841
24,0.0072315692310758635,0.01063822732732532,0.014452614055010913,0.00024371472564080788,0.00024371472564080788,0.00024371472564080788
25,0.014355292977070054,0.0047487842554576176,0.002315883498758304,0.003157741720295561,0.003157741720295561,0.003157741720295561
26,0.0006634605961439046,0.009795239268705765,0.009795239268705765,0.006831130965343152,0.006831130965343152,0.006831130965343152
27,0.11547240844448128,0.0566712468915237,0.09801134436837215,0.08882207448268091,0.44925044710713224,0.44925044710713224
28,0.0,0.0022224421620449684,0.0022224421620449684,0.00023036869978592092,0.00024367465754749417,0.00024367465754749417
29,0.011587974275211825,0.014863594839644058,0.0018076653428610822,0.4138361674007043,0.4138361674007043,0.4138361674007043
30,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.00038947508426937465,4.805364279834213e-05,4.805364279834213e-05
31,0.011466785225546831,0.004468748811186093,0.004468748811186093,0.0034340913553399465,0.004028182753242732,0.004028182753242732
