T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
158.0,0.8616179433555256,0.7015062404201203,0.3009714043554586,0.8814800527465251,0.8689968933514559,0.8668317253538167,0.9010840802866312,0.8947824920287606
159.0,0.859643210445769,0.6980353820277476,0.2941265402860269,0.8810392511028001,0.8682393942177926,0.8672753601959152,0.9016826396205524,0.8944557400944054
160.0,0.8573167921633034,0.6743809500978135,0.2750808283799415,0.879766670425005,0.8667185404538659,0.8657358074962194,0.90523494292725,0.8940816878919201
161.0,0.8433887083077436,0.6346481733495737,0.24099331814133268,0.8632659420485387,0.847781716200435,0.8475329746227817,0.8934366143287142,0.8769327297501857
162.0,0.8630561835695213,0.6244060241487912,0.2387889644945163,0.8929230008688238,0.8808113905549463,0.875830146158114,0.9281396231407093,0.89909289886968
163.0,0.8595970503687483,0.6193076069640724,0.23572840795431743,0.8892424761561206,0.8767132241072818,0.8715602126622829,0.9256734647132435,0.8977193164454517
164.0,0.8677264269134515,0.6054825657693336,0.2358907240219522,0.894257434627655,0.8827546376767272,0.8763101278841926,0.934830602666234,0.9031398192834045
165.0,0.8686954182398559,0.5994482160592867,0.22632748651171783,0.8917049809582863,0.8798949876496187,0.873278369286957,0.9373736347138152,0.9056436512950885
166.0,0.863544478426101,0.5921393328842487,0.22917199701978228,0.8817428228819472,0.8689665626840629,0.8626138550253251,0.930071919741231,0.8979757067049585
167.0,0.8620960178820457,0.5789695165408573,0.22951600858916366,0.8810234768923534,0.8709799871810348,0.8633419449147566,0.9286800549737603,0.8971017906189208
168.0,0.8621062464170056,0.5782487180466725,0.22853273998767343,0.8800455876613317,0.869919548719509,0.862218728023645,0.9292375495670082,0.896256051911679
169.0,0.8685758158025522,0.5707988905023922,0.22832150481251684,0.8860957405842136,0.8770651073704733,0.8690112404535955,0.9325902851066288,0.8973480788537203
170.0,0.8698066053451797,0.5674674790271363,0.22757154308275732,0.8844401554182865,0.8752782630008581,0.8671073340648395,0.9328963703375721,0.8958560451161289
171.0,0.8940544256483228,0.5828611723211214,0.2392728643051419,0.9073653699231707,0.9107020591462993,0.9033739470510276,0.9386704252538564,0.9060495947134624
172.0,0.8952629661627416,0.5808698622083697,0.24001752297012513,0.9053144187037575,0.9087249829650366,0.9020706790179784,0.9373125748904731,0.9040527593523154
173.0,0.883729513422586,0.5373186478530988,0.25479417162714524,0.8919822263531387,0.8986217300593853,0.8904827443510294,0.9366438706102781,0.9157214366272092
174.0,0.8880236217115378,0.5298857056887403,0.25597629272996697,0.8924462638453258,0.9017804709016061,0.8934753834441,0.9403042413023471,0.9157947969755956
175.0,0.8874460727459302,0.5177650704496989,0.2514065221301896,0.8884627921358933,0.8981427105646285,0.889530027275363,0.9395735451345524,0.9141563436105138
176.0,0.8873352339043399,0.48389370997482145,0.26053535678459566,0.8817641547590983,0.8930205337173952,0.8747742390209209,0.9355787056589835,0.9142467971137964
177.0,0.8928230991264041,0.481901044419003,0.25858981675613735,0.8807100596584682,0.8887669169317091,0.8694659231198316,0.9357051108479284,0.9131401440053317
178.0,0.8621194710534427,0.4710071850868483,0.2559003836665583,0.8654253768624478,0.8620122536936755,0.8460917779274525,0.9211557016016976,0.8976307575420667
179.0,0.8625964388038431,0.468286740567003,0.25398028294954983,0.871295281542199,0.864767309640135,0.8507645019888878,0.9190137504254069,0.9008385045187813
180.0,0.8571956906603967,0.45922778260598823,0.25405799468025203,0.8647624796438145,0.8577966559678316,0.8428546356082689,0.9135817458807696,0.8955938493514933
181.0,0.848101484829819,0.4646701223605516,0.2518363825187383,0.8401949247036944,0.8326293943536203,0.8164009748902542,0.8897607592952173,0.8730922712395522
182.0,0.8413819938848744,0.45285821632044204,0.24719204662355365,0.8243440508299711,0.8259099034086758,0.8024531394637973,0.885549666372356,0.8663727802946078
183.0,0.8353087360233958,0.4272344802130959,0.24371164481141674,0.8140618125282562,0.8212469114518878,0.7948142893945993,0.8733222603575507,0.8684425169407431
184.0,0.8353087360233958,0.4272344802130959,0.24371164481141674,0.8140618125282562,0.8212469114518878,0.7948142893945993,0.8733222603575507,0.8684425169407431
