T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
107.0,0.09950626247466966,0.064921634431378,-0.02544468168171434,0.02628519694141804,-0.0052515564351694,-0.002525153509290694,-0.02332696070578787,-0.08022648624869955,-0.026077934157414915,-0.07301940652921446,-0.08315454149206318,0.08253385085910393,0.046442535074079104,0.05580090652854697,-0.004564550847698487
108.0,0.09138209611021997,0.05500439670262666,-0.028267858009529655,0.02455320710325132,-0.004887964885480184,-0.0034360716826149535,-0.022937227587825647,-0.08404389499428716,-0.025589943107672423,-0.07557095594542623,-0.08563806986825584,0.07818597007836575,0.04203998527571989,0.05003642510163383,-0.005170372961759584
109.0,0.09108832845404784,0.04359236413564888,-0.03346360367233325,0.02670218433169466,-0.004978366054666287,-0.0033807741674991092,-0.02422838403789781,-0.08743201179477311,-0.02680807515122713,-0.07669750948947837,-0.08748887621251157,0.0769452637377546,0.038039303586861514,0.05063276837054429,-0.0038452357165377434
110.0,0.08548694979030277,0.03918964349124931,-0.04647354997147075,0.02389367132411191,-0.00488246091765515,-0.003172421104695824,-0.02348496650408849,-0.08052358630966575,-0.029743000141278016,-0.07332824661557491,-0.08389162663371025,0.05071107729020606,0.02998833467287575,0.03452864730213131,-0.003455075018993279
111.0,0.0773934017789321,0.03395667932114969,-0.05508580387817362,0.015130115956263958,-0.004832100950168794,-0.0024394572897798636,-0.024644994949769745,-0.09196516117751058,-0.030175193550692078,-0.07640277269873638,-0.08776640877885167,0.02458581514638811,0.017423123888746027,0.03029031224122442,-0.004686725952390061
112.0,0.07241003781884961,0.03361499016747903,-0.06392105002987876,0.0166442299006965,-0.0045715195483171725,-0.0017229553115165768,-0.027200394041365473,-0.09522483865646796,-0.02894468223831424,-0.08059864701750612,-0.09150773765441678,0.016241691737780988,0.013129309640055153,0.02187409784036508,-0.004609903649002224
113.0,0.06872104598262266,0.028412412338328932,-0.06451867881331458,-0.00016909808980651508,-0.0037604945266970858,-0.0017735945174419316,-0.028704848525077445,-0.09468634604223895,-0.0309940001040064,-0.083784309148419,-0.09178430884902074,0.01135238899122585,0.0072916782187465445,0.015283724676060163,-0.0042552617960052025
114.0,0.06282152164343824,0.028405553256902315,-0.06295623493553298,-0.0041897793028210515,-0.0039502400474780795,-0.002297029807951708,-0.028154683885926207,-0.09871993073304879,-0.030404494084233548,-0.08176061655067816,-0.0895427174267499,0.010710077388540493,0.00726991414309297,0.014596836558360908,-0.006116530943245726
115.0,0.06460618663623953,0.028316163461650355,-0.06684566447165996,-0.013692442874551692,-0.0038895459233250604,-0.0025312085861999914,-0.02854796646447954,-0.11497892566403538,-0.034592389126363796,-0.08329025594131904,-0.09125838313315343,0.01094738891434808,0.007736287295396091,0.0153042006556987,-0.009879502366383013
116.0,0.054350231078395025,0.03032389913008468,-0.0648522621051507,-0.021999652914233413,-0.004140254143303816,-0.006421955167734588,-0.025292893357943755,-0.12344388483971742,-0.035539228763049685,-0.0814706697353154,-0.0896673907400303,0.00692162413826482,0.008011444797106828,0.015502849608617648,-0.013353662431654163
