Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
BobBerg_BluesForBela_Solo.jams,0.04594487951089615,0.03249378611783271,0.03249378611783271,0.0548615991462871,0.036961470130925905,0.042509116162037355,0.042509116162037355,0.028656528798893213,0.010829696425237827
BobBerg_IDidn'tKnowWhatTimeItWas_Solo.jams,0.024998657724929645,0.022668151006046796,0.022668151006046796,0.022668151006046796,0.0026385216150399764,0.0033655643474269446,0.0033655643474269446,0.007710307012926765,0.01056778330597589
BobBerg_NatureOfTheBeast_Solo.jams,0.00846432699121512,0.019147062688121917,0.0028792436418771617,0.0028792436418771617,0.0007539238772048918,0.006560787065277658,0.006560787065277658,0.014382946178347242,0.00829694968263399
BobBerg_NoMoe_Solo.jams,0.003363973388320612,0.010089353294356678,0.007832554702905807,0.0011005700671019925,0.0022605688265327465,0.016496230331443464,0.016496230331443464,0.009256735510455213,0.006177312232060892
BobBerg_SecondSight_Solo.jams,0.01022040452687464,0.0004212564766877587,0.0004212564766877587,0.0004212564766877587,0.0022212628616874947,0.0029121974349734484,0.0029121974349734484,0.010453681767460537,0.0049021359978623875
BobBerg_YouAndTheNightAndTheMusic_Solo.jams,0.04266571580351707,0.01078902873901824,0.01078902873901824,0.019506245840127362,5.3645924148885165,0.45985977031220177,0.04482227103335801,0.004977822532729759,0.43481727105206075
BranfordMarsalis_GutbucketSteepy_Solo.jams,0.01594975662201073,0.0003244520322809965,0.020139650527434712,0.020139650527434712,0.0012039947772900976,0.01450649721826017,0.01450649721826017,0.0050725404477242894,0.0018136856225041235
BranfordMarsalis_HousedFromEdward-1_Solo.jams,0.033936698066048925,0.013730110664927539,0.013730110664927539,0.013730110664927539,0.0016849783750586,0.024829861826575372,0.024829861826575372,0.013730110664927539,0.011845179529349936
BranfordMarsalis_HousedFromEdward-2_Solo.jams,0.014885407564566735,0.009317028917060146,0.009317028917060146,0.009317028917060146,0.0020603203541222207,0.004083944525277834,0.004083944525277834,0.007868697484961282,0.005958864753866719
BranfordMarsalis_TheNearnessOfYou_Solo.jams,0.36878095134734307,0.01763800088184993,0.01763800088184993,0.022439438493485234,0.02662933239890908,0.062017947928517544,0.062017947928517544,0.013728341781401737,0.23062939916173175
BranfordMarsalis_ThreeLittleWords_Solo.jams,0.0377798521803826,0.005610054522004576,0.005610054522004576,0.005278261620731757,0.0003068217286063047,0.0008132090401126133,0.0008132090401126133,0.00918524024751151,0.00047455206017392107
BranfordMarsalis_Ummg_Solo.jams,0.01953260617416938,0.02400118748875427,0.02400118748875427,0.02400118748875427,0.002829763225334333,0.004307319655356471,0.004307319655356471,0.012467076270200545,0.05287442917845217
BuckClayton_AfterTheatreJump_Solo.jams,0.019376503271751555,0.009579951947339798,0.0014060205016394925,0.0014060205016394925,0.00083866749862789,0.0066390751935984016,0.0066390751935984016,0.005253537005761621,0.0066390751935984016
BuckClayton_DestinationK.C._Solo.jams,0.02729897539593715,0.0036658688308563426,0.0036658688308563426,0.0036658688308563426,0.0011505957884747197,0.0022803241804734546,0.0022803241804734546,0.015253843106068114,0.013296798924192074
BuckClayton_Dickie'sDream_Solo.jams,0.022622034312054982,0.004650993220727758,0.004650993220727758,0.004650993220727758,0.009798326738540388,0.00021298606342270342,0.00021298606342270342,0.003080643620515754,0.002670281436561129
CannonballAdderley_HighFly_Solo.jams,0.003840442814687554,0.012757162450078581,0.012757162450078581,0.012757162450078581,0.0006554708878306654,0.0009200700778563902,0.0009200700778563902,0.013447907897315425,0.008005080855917144
