τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.055,-0.00026604265106362296,0.0007079000224946234,0.0011154407640841782,0.00031607291502780996,0.025341223217776376,-0.012446323386852776,-0.0002367415709193754,0.015366349464792631,0.00835087151288344,0.0035048047608543173,0.026229786057010256,0.005189991754134349,0.00285721183522538,0.001018050094401487,0.0035848760813819804,0.0028918776984252705,0.0020534947321427257,0.006650920929333379
0.06,-0.00024214970258451844,0.0007590105950886578,0.001183648740620009,0.00033324908797825454,0.0252607079877239,-0.013112195834806488,-0.0001861983458402483,0.016335198439299665,0.008654624596680595,0.003435328431857258,0.025457915010940586,0.005881160412283461,0.0035533275502367774,0.0011083349172226111,0.0036735773689153396,0.002982620218309018,0.0021467067158446847,0.006197025755091337
0.065,-0.0002417723840832548,0.0007498488720554488,0.001172690907132303,0.0003229557781925526,0.025255434485980957,-0.01309787102018344,-0.0001721786831856998,0.016305498065199764,0.008644017757823575,0.0034060685882966245,0.025291097918462218,0.005867286791271001,0.0035419547478615656,0.0011005576922488906,0.003658606256694017,0.002968665219544469,0.0021456703444594815,0.006183027157828511
0.07,-0.00021293740938173306,0.0006632570552580819,0.0010891105052430728,0.00036660393296472513,0.025746020103263916,-0.013100065694066004,5.319057960198579e-05,0.01679618525008772,0.008775555552088872,0.0032601808888760592,0.025597286507201753,0.0057043981581899866,0.0034616119197791936,0.001027374386323741,0.0037034201128839095,0.0031666658426528394,0.0028326585826743255,0.0056460737605777975
0.075,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.08,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.085,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.09,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.095,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.1,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
