Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
270,-0.0029402174889437134,-0.010230078008763207,-0.012755393648919748,0.4281134980720881,-0.008324216734142598,-0.008032994799471801,-0.008718224448678348,-0.008718224448678348,-0.008664861127127537,-0.008664861127127537,-0.008664861127127537
271,-0.014849356347547221,-0.011471632592080339,-0.01100635965701859,0.012045132289868915,0.40381306161658964,-0.011558422598813858,-0.011558422598813858,-0.011558422598813858,-0.011587974275211846,-0.011587974275211846,-0.011587974275211846
272,0.012084854709155771,-0.0010187325650245942,-0.0022081637950173744,0.43414073903060224,0.00117743746253245,-0.0005371219869507299,-0.0005371219869507299,-0.0005371219869507299,0.0,-0.008511499855517406,0.0
273,-0.06420748895003626,-0.29160355803056476,-0.0897689880346459,-0.09192807263698533,-0.11183265496951586,0.000949885781223864,-0.1275903905956764,-0.1275903905956764,0.009398698002249559,-0.009460329249066243,0.009398698002249559
274,-0.0006634605961439046,0.0016573178627738933,0.0003316159170762324,0.009795239268705765,-0.002379921334930202,-0.000998956062075347,-0.0003447955654340049,-0.0003447955654340049,0.0,0.0,0.0
275,0.00549046274753558,0.01527986703712604,0.014149751583234933,0.4350813332241681,0.011866273404001043,0.010856276360557346,0.010450245334062677,0.010450245334062677,0.010341944221458961,0.010341944221458961,0.010341944221458961
276,-0.012372545149739926,-0.010575201302143261,-0.011228521834484929,0.001667051308266115,-0.016869165332112235,-0.016230499052705315,-0.016230499052705315,-0.016230499052705315,-0.016301812329100537,-0.024522319134069014,-0.016301812329100537
277,0.40099966587856106,0.38366048897406135,0.4034597667255768,0.4042752864429933,-0.01893565575014458,-0.020762152920709303,-0.020762152920709303,-0.020762152920709303,-0.020464102559715577,-0.020464102559715577,-0.020464102559715577
278,-0.0006634605961439046,-0.00016583654721283306,-0.0014932156318935217,0.009795239268705765,-0.002379921334930202,-0.000998956062075347,-0.0003447955654340049,-0.0003447955654340049,0.0,0.0,0.0
279,-0.0006634605961439046,-0.003154158759040113,-0.008231877845176703,0.43300854037017095,-0.002379921334930202,-0.0003447955654340049,-0.0003447955654340049,-0.0003447955654340049,0.0,0.0,0.0
