Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
0.012,0.7531914893617021,0.6595744680851063,1.0,0.9872340425531915,0.2,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0125,0.7787234042553192,0.6638297872340425,1.0,0.9914893617021276,0.2170212765957447,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.013,0.8,0.6808510638297872,1.0,0.9914893617021276,0.225531914893617,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0135,0.8936170212765957,0.6893617021276596,1.0,0.9914893617021276,0.28936170212765955,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.014,0.9234042553191489,0.6978723404255319,1.0,0.9914893617021276,0.28936170212765955,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0145,0.9276595744680851,0.7106382978723405,1.0,0.9914893617021276,0.3191489361702128,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.015,0.9276595744680851,0.7191489361702128,1.0,0.9914893617021276,0.3191489361702128,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0155,0.9276595744680851,0.7276595744680852,1.0,0.9914893617021276,0.32340425531914896,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.016,0.9276595744680851,0.7361702127659574,1.0,0.9914893617021276,0.33191489361702126,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0165,0.9276595744680851,0.7446808510638298,1.0,0.9914893617021276,0.37872340425531914,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.017,0.9276595744680851,0.7489361702127659,1.0,0.9914893617021276,0.3872340425531915,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0175,0.9276595744680851,0.7531914893617021,1.0,0.9914893617021276,0.39148936170212767,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.018,0.9276595744680851,0.7617021276595745,1.0,0.9914893617021276,0.4085106382978723,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0185,0.9276595744680851,0.7702127659574468,1.0,0.9957446808510638,0.41702127659574467,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.019,0.9276595744680851,0.7702127659574468,1.0,0.9957446808510638,0.41702127659574467,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0195,0.9276595744680851,0.774468085106383,1.0,0.9957446808510638,0.41702127659574467,0.2851063829787234,0.46382978723404256,0.5872340425531914,0.7361702127659574,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.02,0.9276595744680851,0.7787234042553192,1.0,0.9957446808510638,0.4297872340425532,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0205,0.9276595744680851,0.7787234042553192,1.0,0.9957446808510638,0.4340425531914894,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.021,0.9276595744680851,0.7829787234042553,1.0,0.9957446808510638,0.4340425531914894,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0215,0.9276595744680851,0.7914893617021277,1.0,0.9957446808510638,0.4808510638297872,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.022,0.9276595744680851,0.7914893617021277,1.0,0.9957446808510638,0.4808510638297872,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0225,0.9276595744680851,0.7957446808510639,1.0,0.9957446808510638,0.4808510638297872,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.023,0.9276595744680851,0.7957446808510639,1.0,0.9957446808510638,0.5063829787234042,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
0.0235,0.9276595744680851,0.7957446808510639,1.0,0.9957446808510638,0.5063829787234042,0.2851063829787234,0.46382978723404256,0.5914893617021276,0.7404255319148936,0.9446808510638298,0.9659574468085106,0.9063829787234042
